,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier1_SNR,Tier1 Transit S/N,Tier2_SNR,Tier2 Transit S/N,Tier3_SNR,Tier3 Transit S/N,cumulative transit [days],N cumulative transit [days]
11,5,5,HIP 65 A b,HIP 65 A b,1.0,1.0,1.7553946,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590.0,-49.0,49.0,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11.0,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.1e-06,3.1e-06,1361.757722,2660935422.0,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1.0,0.92,0.0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0.0,8.2,5.8,-3.4,2,2020,Ariel,1579.037899,20.11014765,96.35935477,195.9476219,28.35450222,49.01441584,7.191807947,34.65930918,5.085075501,4.992151403124999,6.327217142604167
12,87,87,WASP-20 b,WASP-20 b,1.0,1.06709341,2.089444002,1.0,2.180405563,4.338214779,Transit,1,1,2,0,0,0,1.2,-0.04,0.04,5940.0,-100.0,100.0,1.39,-0.04,0.04,211.877,,,4.23,-0.02,0.02,Gaia DR2 2359978293136820864,9.417,9.701,9.39,10.675,10.6503,9.328,0,-0.008,-0.06,0.06,[Fe/H],7.0,-1.0,2.0,F9,5.1605621,-23.9357894,16.38752983,0.661329863,-0.661329863,1.462,0.059,-0.059,98.84463445,6.038739725,-5.720911319,0.311,0.019,-0.018,0,1,32.9,4.8996284,246.723377,-3.3e-06,3.3e-06,1333.209338,8975675796.0,0.060037965,0.3,2.3,12264.6735,0.718,1,85.56,-0.22,0.22,0.0,,,0,,,,5715.65562,0.00029,-0.00029,0,5718.105434,0.0,1.164,0.023,-0.023,1,2015,Ariel,93.67356515,3.752859049,5.614342013,17.27884259,27.33330324,4.294079454,6.917836422,3.036403448,4.891324467,5.418008121874999,7.604787298854167
13,14,14,WASP-76 b,WASP-76 b,1.0,1.061796208,2.069376856,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.46,-0.07,0.07,6250.0,-100.0,100.0,1.73,-0.04,0.04,194.459,-5.839,6.206,4.13,-0.02,0.02,Gaia DR2 2512326349403275520,8.331,8.541,8.243,9.518,9.39507,8.19,0,0.23,-0.1,0.1,[Fe/H],5.3,-2.9,6.1,F7,26.632936,2.700389,20.51243474,0.672538844,-0.448359229,1.83,0.06,-0.04,292.4021341,9.534852198,-9.534852198,0.92,0.03,-0.03,0,1,119.3,1.809886,32.42343465,-1e-06,1e-06,2110.974286,4933060164.0,0.032997058,0.3,2.3,13517.1962,0.14,1,88.0,-1.6,1.3,0.0,,,0,,,,6107.85507,0.00034,-0.00034,0,6108.760013,0.0,1.189,0.016,-0.016,1,2016,Ariel,318.3155007,7.085691786,16.98551447,74.4188986,27.24911426,18.48224578,6.894090847,13.06925849,4.874529134,5.8873552121527775,9.0128285696875
14,55,55,WASP-94 A b,WASP-94 A b,1.0,1.102576981,2.155616764,1.0,1.06653885,2.096502509,Eclipse,1,1,2,0,0,0,1.67,-0.64,0.64,6170.0,-80.0,80.0,1.48,-0.12,0.12,211.211,-2.454,2.513,4.27,-0.07,0.07,Gaia DR2 6780546169633475456,8.916,9.159,8.874,10.051,10.0285,8.801,0,0.26,,,[Fe/H],2.7,-0.6,0.6,F8,313.7832393,-34.1357512,17.71018955,1.457167495,-1.457167495,1.58,0.13,-0.13,144.9297534,11.44182264,-10.80616582,0.456,0.036,-0.034,0,1,45.9,3.95019,149.1696669,-4e-06,4e-06,1453.047144,8680580996.0,0.058064087,0.3,2.3,14165.84998,0.17,1,88.7,-0.7,0.7,0.0,,,0,,,,6416.40215,0.00026,-0.00026,0,6418.377245,0.0,1.2,0.016,-0.016,1,2014,Ariel,136.1780294,4.711370717,6.886559866,25.00429623,26.61169175,6.204448416,6.733410533,4.387245408,4.760920067,6.379225003125,10.488437942604167
15,203,203,GJ 436 b,GJ 436 b,1.0,1.355341408,2.619652447,1.704022646,9.349614676,16.28245989,Transit,1,1,3,0,0,0,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.9,6.073,10.67,9.57148,6.017,0,0.099,-0.078,0.078,[Fe/H],6.0,-5.0,4.0,M2.5 V,175.5505363,26.7030669,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,678.102424,-5.7e-07,5.7e-07,708.0229527,4352700318.0,0.029115052,0.1,2.3,4248.748378,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351.0,-0.03,0.03,4510.80162,7e-05,-7e-05,0,4512.123562,4068.837389,0.6819,0.0028,-0.0028,1,2004,Ariel,118.8379671,14.89588137,12.84120812,6.916534293,23.66579408,1.740016817,6.018904487,1.230297279,4.255794529,6.526750988472222,10.931015898645834
16,348,348,GJ 3470 b,GJ 3470 b,1.0,1.335633556,2.644245823,6.220076699,45.89211853,90.69894119,Transit,1,1,3,0,0,0,0.54,-0.04,0.05,3600.0,-100.0,100.0,0.55,-0.02,0.02,29.4214,-0.0507,0.0508,4.7,-0.05,0.05,Gaia DR2 654687847820642560,8.206,8.794,7.989,12.332,11.3537,7.807,0,0.2,-0.1,0.1,[Fe/H],1.65,-1.35,1.35,M1.5,119.7735021,15.391209,4.573264138,0.179343692,-0.179343692,0.408,0.016,-0.016,12.57964833,1.309453035,-1.280848479,0.03958,0.00412,-0.00403,0,1,8.21,3.3366496,1296.401366,-3.3e-06,3.9e-06,702.7322631,5323978594.0,0.035611897,0.1,2.3,6592.825576,0.4,1,89.13,-0.34,0.26,0.017,-0.012,0.016,0,1.7,-1.2,0.96,5983.70421,,,0,5985.372535,6599.4788,0.52,0.04,-0.04,1,2012,Ariel,40.34676831,6.132704983,4.221995773,2.787294731,21.67584755,0.70114263,5.512540727,0.495748718,3.897758658,6.755668543194444,11.846686117534723
17,172,172,WASP-39 b,WASP-39 b,1.0,1.972112104,3.869888118,1.0,6.372018536,12.689816,Transit,1,2,4,0,0,0,0.93,,0.03,5400.0,,150.0,0.9,,0.02,213.982,-1.731,1.76,4.45,-0.01,0.01,Gaia DR2 3643098875168270592,10.307,10.663,10.202,12.095,11.8867,10.159,0,0.01,-0.09,0.09,[Fe/H],9.0,-4.0,3.0,,217.3266477,-3.4444994,14.23540553,0.448359229,-0.448359229,1.27,0.04,-0.04,89.30978225,10.17050901,-10.17050901,0.281,0.032,-0.032,0,1,0.0,4.055259,551.9702443,-9e-06,9e-06,1083.803996,7267828889.0,0.04861424,0.3,2.3,10138.41121,0.447,1,87.83,-0.22,0.25,0.0,,,0,0.0,,,5342.9688,0.0002,-0.0002,0,5344.996429,0.0,2.11,0.03,-0.04,1,2011,Ariel,87.60170116,4.49361114,5.032029562,10.82581882,21.05093712,2.701452528,5.331676717,1.910237988,3.769823759,7.107696710208333,13.254798785590278
18,394,394,GJ 1214 b,GJ 1214 b,1.0,1.681674322,3.355061692,10.92159468,95.10109278,177.6258751,Transit,1,2,3,0,0,0,0.18,-0.01,0.01,3250.0,-100.0,100.0,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.782,15.1,13.0089,8.598,0,0.29,-0.12,0.12,[Fe/H],3.0,,,M4 V,258.8313991,4.9606795,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,1605.942394,-1.3e-07,1.3e-07,603.9487151,2243025902.0,0.015003518,0.1,2.3,3035.292692,0.325,1,88.7,-0.1,0.1,0.0,,,1,0.0,,,5701.413328,6.6e-05,-5.9e-05,0,5702.20353,0.0,,,,1,2009,Ariel,51.17792014,11.04756378,6.748865499,2.146897998,20.45273268,0.540143386,5.208267535,0.381889754,3.682631031,7.213088817569444,13.676367215034723
19,88,88,WASP-177 b,WASP-177 b,1.0,2.005366495,3.936767072,1.0,2.213201348,4.411207617,Transit,1,2,4,0,0,0,0.88,-0.04,0.04,5017.0,-70.0,70.0,0.89,-0.05,0.05,176.818,-2.364,2.428,4.49,-0.04,0.05,Gaia DR2 2677447294810845824,10.244,10.654,10.163,12.312,12.0715,10.077,0,0.25,-0.04,0.04,[Fe/H],9.7,-3.9,3.9,K2,334.7969885,-1.8344301,17.71018955,7.397927282,-4.035233063,1.58,0.66,-0.36,161.4568306,12.07747945,-12.07747945,0.508,0.038,-0.038,0,1,77.3,3.071722,249.795099,-1e-06,1e-06,1108.631242,5928982148.0,0.039658743,0.3,2.3,5837.618745,0.98,1,84.14,-0.83,0.66,0.0,,,0,,,,7994.3714,0.00028,-0.00028,0,7995.907261,0.0,1.85,0.35,-0.14,1,2019,Ariel,161.286892,5.24863229,10.51416317,17.44635834,20.26782722,4.358848937,5.136502472,3.082221106,3.631831054,7.4157839128819445,14.487147596284723
20,120,120,WASP-17 b,WASP-17 b,1.0,2.247813806,4.408798737,1.0,3.180833951,6.264984069,Transit,1,2,4,0,0,0,2.28,-0.99,0.99,6550.0,-100.0,100.0,1.49,-0.19,0.19,405.908,-8.421,8.779,4.2,-0.2,0.2,Gaia DR2 6042793005779654656,10.319,10.509,10.224,11.588,11.3803,10.197,0,-0.25,,,[Fe/H],2.65,-0.25,0.25,F4,239.9622479,-28.0617941,20.96079397,2.690155375,-2.690155375,1.87,0.24,-0.24,162.7281442,11.75965104,-11.75965104,0.512,0.037,-0.037,0,1,56.0,3.73543,369.6126107,-8e-06,8e-06,1497.111625,9277621781.0,0.062057671,0.3,2.3,12141.56859,0.4,1,86.63,-0.42,0.42,0.0,,,0,-82.6,-2.6,14.6,4592.80154,5e-05,-5e-05,0,4594.669255,0.0,1.7,0.018,-0.018,1,2009,Ariel,99.24017906,3.776446682,4.950200244,17.41083979,20.1252602,4.31349768,5.090175281,3.050121109,3.599050642,7.837366155590278,16.17347656711806
21,20,20,KELT-9 b,KELT-9 b,1.0,1.793284766,3.47511354,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.52,-0.2,0.25,10170.0,-450.0,450.0,2.36,-0.06,0.07,204.455,-1.558,1.582,4.09,-0.01,0.01,Gaia DR2 2064327278651198336,7.492,7.458,7.482,7.55,7.57675,7.399,0,-0.03,-0.2,0.2,[Fe/H],0.3,,,B9.5-A0,307.8598998,39.9389161,21.19618256,0.683747825,-0.594075979,1.891,0.061,-0.053,775.5013121,222.4798846,-222.4798846,2.44,0.7,-0.7,0,1,0.0,1.4811235,50.43133589,-1.1e-06,1.1e-06,3916.236076,5177168998.0,0.034629893,0.3,2.3,14066.71499,0.177,1,86.79,-0.25,0.25,0.0,,,0,90.0,,,7095.68572,0.00014,-0.00014,0,7096.426282,0.0,0.677,0.0072,-0.0072,1,2017,Ariel,343.1458705,17.59962354,23.31423631,139.4901761,20.11604068,34.59657213,5.07682285,24.46372993,3.58958353,8.325793759409722,18.127186982395838
22,124,124,WASP-131 b,WASP-131 b,1.0,1.993408783,3.894838181,1.0,3.275110363,6.503053484,Transit,1,2,4,0,0,0,1.06,-0.06,0.06,6030.0,-90.0,90.0,1.53,-0.05,0.05,200.075,-2.591,2.659,4.09,-0.03,0.03,Gaia DR2 6173451477191225984,8.653,8.895001,8.573,10.068,9.86708,8.537,0,-0.18,-0.08,0.08,[Fe/H],4.5,-3.5,3.5,G0,210.1935714,-30.5836084,13.67495649,0.560449037,-0.560449037,1.22,0.05,-0.05,85.81366978,6.356568132,-6.356568132,0.27,0.02,-0.02,0,1,30.5,5.322023,386.2594891,-5e-06,5e-06,1410.18327,9100203405.0,0.060870926,0.3,2.3,13685.88411,0.73,1,85.0,-0.3,0.3,0.0,,,0,,,,6919.8236,0.0004,-0.0004,0,6922.484611,0.0,0.665,0.012,-0.012,1,2016,Ariel,85.10664782,4.67886713,4.074296932,14.04966975,19.85905715,3.48879084,5.025628906,2.466971321,3.553419207,8.800998068784722,20.028004219895838
23,115,115,TOI-1130 c,TOI-1130 c,1.0,1.675921465,3.302676548,1.0,3.043566333,5.894111667,Transit,1,2,3,0,0,0,0.68,-0.02,0.02,4250.0,-67.0,67.0,0.69,-0.01,0.01,58.2609,-0.1691,0.17,4.6,-0.02,0.02,Gaia DR2 6715688452614516736,8.493,9.055,8.351,11.595,10.9028,8.266,0,0.2,,,[Fe/H],8.2,-4.9,3.8,K7,286.3760037,-41.4376399,16.8134711,3.026424797,-2.465975761,1.5,0.27,-0.22,309.564868,13.66662148,-13.98444989,0.974,0.043,-0.044,0,1,125.9,8.350381,350.4109936,-3.3e-05,3.2e-05,658.6202821,10597541964.0,0.070886568,0.1,2.3,7400.484149,0.995,1,87.43,-0.16,0.16,0.047,-0.027,0.04,0,-28.0,-55.0,24.0,8657.90461,0.00021,-0.00022,0,8662.079801,0.0,1.668,0.001514,-0.001514,2,2020,Ariel,198.5008995,11.16536817,18.81020703,11.2351351,19.80032174,2.819688918,5.026035893,1.99361006,3.553743107,9.057959323958332,21.055849240590284
24,12,12,WASP-189 b,WASP-189 b,1.0,2.315344921,4.206662087,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.03,-0.07,0.07,8000.0,-80.0,80.0,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,18.1473398,0.235388595,-0.235388595,1.619,0.021,-0.021,632.4785291,50.85254506,-44.49597692,1.99,0.16,-0.14,0,1,182.0,2.724033,29.39367865,,,2606.643375,7231108901.0,0.048368621,0.3,2.3,16418.59337,0.478,1,84.03,-0.14,0.14,0.0,,,0,,,,8926.541696,6.5e-05,-6.4e-05,0,8927.903712,0.0,,,,1,2020,Ariel,372.2352923,19.5819523,20.98555757,122.5139615,19.78849429,30.30847899,4.999347694,21.43181847,3.534816817,9.628049371527776,23.33620943086806
25,38,38,HAT-P-41 b,HAT-P-41 b,1.0,2.122127833,4.152780595,1.0,1.0,1.48076437,Eclipse,1,1,1,0,0,0,2.56,-1.9,1.9,6390.0,-100.0,100.0,2.05,-0.5,0.5,348.185,-4.417,4.529,4.14,-0.02,0.02,Gaia DR2 4290415081653653632,9.777,10.006,9.728,11.365,10.939,9.559,0,0.21,,,[Fe/H],2.2,-0.4,0.4,,297.3226523,4.6724124,22.9784105,5.604490365,-5.604490365,2.05,0.5,-0.5,254.2627253,31.78284066,-31.78284066,0.8,0.1,-0.1,0,1,0.0,2.69405,102.5257703,-4e-06,4e-06,1873.807621,7754998820.0,0.051872902,0.3,2.3,14811.65187,0.222,1,87.7,-1.0,1.0,0.0,,,0,,,,8071.24389,0.00012,-0.00012,0,8072.590915,0.0,1.1,0.033,-0.033,1,2012,Ariel,116.9799486,4.909970405,7.717349409,34.51133892,19.56672911,8.555269623,4.949699983,6.049587014,3.499728298,10.14234283923611,25.907676769409726
26,46,46,HAT-P-60 b,HAT-P-60 b,1.0,2.179299133,4.228534353,1.0,1.0,1.870859317,Eclipse,1,1,2,0,0,0,1.44,-0.01,0.01,6212.0,-26.0,26.0,2.2,-0.02,0.03,233.22,-2.627,2.687,3.91,-0.01,0.01,Gaia DR2 359678187913760384,8.396,8.677,8.368,9.727,9.56355,8.308,0,0.037,-0.037,0.037,[Fe/H],2.765,-0.056,0.042,,28.2825719,52.0539209,18.28184757,0.269015538,-0.269015538,1.631,0.024,-0.024,182.4335054,12.07747945,-12.07747945,0.574,0.038,-0.038,0,1,54.1,4.7947813,127.1606643,-2.4e-06,2.4e-06,1713.885725,9401518662.0,0.062886412,0.3,2.3,18164.20283,0.668,1,83.75,-0.17,0.17,0.0,,,1,,,,8360.94029,0.00056,-0.00056,0,8363.337681,0.0,0.665,4.3e-05,-4.3e-05,1,2021,Ariel,108.0847657,5.565453773,5.941370437,27.70167164,19.00586482,6.86994097,4.808727442,4.857845186,3.400054594,10.773044326388886,29.061184205173614
27,67,67,WASP-101 b,WASP-101 b,1.0,2.233449232,4.374926821,1.0,1.520345163,3.000246681,Eclipse,1,2,3,0,0,0,1.41,-0.3,0.3,6380.0,-120.0,120.0,1.31,-0.08,0.08,201.224,-1.139,1.152,4.31,-0.08,0.08,Gaia DR2 2924661867160818304,9.124,9.334,9.075,10.336,10.138,9.041,0,0.2,,,[Fe/H],1.14,-0.65,0.7,F6,98.3511016,-23.486086,16.02884245,1.008808266,-1.008808266,1.43,0.09,-0.09,157.9607181,15.57359192,-15.25576352,0.497,0.049,-0.048,0,1,54.3,3.58572,190.0633793,-4e-06,4e-06,1501.700897,7691692845.0,0.05144945,0.3,2.3,9754.435574,0.736,1,85.0,-0.2,0.2,0.0,,,0,,,,6297.36537,0.00019,-0.00019,0,6299.15823,0.0,1.3,0.02,-0.02,1,2014,Ariel,132.0558162,6.26874961,6.847726294,21.464346,18.8076855,5.320845706,4.757737352,3.762433304,3.363999571,11.111740006041664,30.754662603437502
28,69,69,WASP-80 b,WASP-80 b,1.0,2.114062339,4.203009447,1.0,1.6885573,3.271208712,Eclipse,1,2,3,0,0,0,0.58,-0.05,0.05,4143.0,-94.0,92.0,0.59,-0.02,0.02,49.7876,-0.11605,0.11605,4.66,-0.02,0.02,Gaia DR2 4223507222112425344,8.513,9.218,8.351,11.841,11.273,8.296,0,-0.13,-0.17,0.15,[Fe/H],7.0,-7.0,7.0,K7-M0 V,303.1667996,-2.1444369,11.19777175,0.336269422,-0.347478403,0.999,0.03,-0.031,171.6273396,11.44182264,-11.12399423,0.54,0.036,-0.035,0,1,110.0,3.06785234,195.8227816,-7.9e-07,8.3e-07,799.3688362,5155414785.0,0.03448438,0.3,2.3,7760.79195,0.215,1,89.02,-0.1,0.11,0.002,-0.002,0.01,0,94.0,-21.0,120.0,6487.425006,2.3e-05,-2.5e-05,0,6488.958932,7791.821406,2.937,0.013,-0.013,1,2012,Ariel,207.6330355,13.95594962,15.4957901,17.77752077,18.75881931,4.464872434,4.762958194,3.157092409,3.367732624,11.381211948749998,32.102022316979166
29,43,43,WASP-54 b,WASP-54 b,1.0,2.378550284,4.645354846,1.0,1.0,1.722928153,Eclipse,1,1,2,0,0,0,1.08,-0.38,0.38,6100.0,-100.0,100.0,1.76,-0.19,0.19,251.303,-4.327,4.478,4.0,-0.03,0.03,Gaia DR2 3661983850663908608,9.135,9.365,9.035,10.413,10.2441,9.007,0,-0.27,,,[Fe/H],6.9,-1.9,1.0,F9,205.4542456,-0.1281712,17.71018955,1.905526724,-1.905526724,1.58,0.17,-0.17,192.6040144,5.720911319,-5.720911319,0.606,0.018,-0.018,0,1,70.0,3.69364,115.5833253,-6e-06,6e-06,1722.740162,7178090697.0,0.048013985,0.3,2.3,16987.88861,0.49,1,84.97,-0.61,0.61,0.07,-0.03,0.03,0,62.0,-33.0,21.0,5518.35087,0.00049,-0.00056,0,5520.19769,19226.14519,0.86,0.02,-0.02,1,2012,Ariel,120.0475347,6.261163716,6.664207695,29.89241316,18.24022525,7.417041231,4.615587191,5.244716217,3.263494388,11.971069192152775,35.05130853399306
30,256,256,HD 332231 b,HD 332231 b,1.0,2.500059725,4.750937361,3.354651124,14.97444921,28.95318246,Transit,1,3,5,0,0,0,1.13,-0.08,0.08,6089.0,-96.0,97.0,1.28,-0.04,0.04,80.6665,-0.1908,0.1917,4.28,-0.03,0.03,Gaia DR2 2056007995732413312,7.3,7.509,7.242,8.558,8.41839,7.114,0,0.036,-0.058,0.059,[Fe/H],4.3,-1.9,2.5,F8,306.741134,33.7443882,9.718186294,0.30264248,-0.280224518,0.867,0.027,-0.025,77.55013121,6.674396538,-6.674396538,0.244,0.021,-0.021,0,1,17.3,18.71204,918.4036981,-0.00043,0.00043,847.4614068,21495038093.0,0.143779519,0.3,2.3,22626.36518,0.133,1,89.68,-0.28,0.22,0.032,-0.022,0.03,0,47.0,-74.0,69.0,8729.67987,0.00038,-0.00038,0,8739.03589,23710.80882,0.4867,0.0058,-0.0055,2,2020,Ariel,40.08342337,8.372366685,2.788219449,6.129593957,18.18186475,1.531173735,4.600877084,1.082681677,3.253093605,12.756706872013886,38.97949693329861
31,13,13,WASP-33 b,WASP-33 b,1.0,2.223157227,4.373788659,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.5,-0.03,0.03,7430.0,-100.0,100.0,1.44,-0.03,0.03,121.944,-0.983,0.998,4.25,-0.07,0.1,Gaia DR2 328636019723252096,7.516,7.581,7.468,8.14,8.07004,7.383,0,0.1,,,[M/H],,,,A5,36.7127375,37.5504441,17.8559063,0.829464574,-0.829464574,1.593,0.074,-0.074,665.214855,44.17814852,-44.17814852,2.093,0.139,-0.139,0,1,304.0,1.21987,30.61354865,-1e-06,1e-06,2599.597377,3826520992.0,0.025595458,0.3,2.3,9739.03043,0.21,1,86.63,-0.03,0.03,0.0,,,0,,,,4163.22367,0.00022,-0.00022,0,4163.833605,0.0,1.1,0.019,-0.019,1,2010,Ariel,548.1600365,21.27327167,29.99360948,127.7972627,17.63667669,31.67989251,4.457433978,22.4016623,3.151657774,13.094867650833331,40.670300827395835
32,102,102,HD 1397 b,HD 1397 b,1.197798041,3.673705225,6.313990595,1.238506654,3.070348446,5.145219729,Eclipse,1,3,5,0,0,0,1.32,-0.05,0.04,5521.0,-60.0,60.0,2.34,-0.06,0.05,79.5702,-0.1731,0.1738,3.82,-0.02,0.02,Gaia DR2 4707634458245031552,6.09,6.442,5.988,7.79,7.59336,6.018,0,0.29,-0.09,0.09,[Fe/H],4.51,-0.5,0.5,G5 III/IV,4.4471631,-66.3589285,11.50041423,0.280224518,-0.30264248,1.026,0.025,-0.027,116.6430252,6.992224945,-7.310053352,0.367,0.022,-0.023,0,1,28.3,11.53533,305.5918647,-0.0008,0.00079,1189.531015,16397437052.0,0.109681853,0.3,2.3,32523.51822,0.17,1,88.99,-0.73,0.67,0.251,-0.019,0.02,0,2.1,-7.0,6.1,8332.08261,0.0006,-0.0006,0,8337.850275,33127.3467,0.2037,0.0027,-0.0023,2,2018,Ariel,68.83878096,8.992241298,3.87113635,16.82660152,17.53603877,4.192903915,4.440660796,2.964869586,3.139818785,14.224156477916665,46.3167449628125
33,10,10,WASP-121 b,WASP-121 b,1.0,2.809530879,5.50232336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776.0,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1.0,1.0,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177.0,1.27492504,25.72819342,-1.4e-07,1.5e-07,2391.043885,3814175890.0,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0.0,,,0,10.0,-10.0,10.0,8119.72074,0.00017,-0.00017,0,8120.358203,0.0,1.551,0.012,-0.012,1,2016,Ariel,265.47448,9.711048794,15.45298403,64.22845507,17.17139022,15.9416336,4.342149965,11.27275393,3.070150956,14.592381279999998,48.526093775312496
34,24,24,KELT-4 A b,KELT-4 A b,1.0,2.71432317,5.307241214,1.0,1.0,1.015967247,Eclipse,1,1,1,0,0,0,1.2,-0.06,0.07,6206.0,-75.0,75.0,1.6,-0.04,0.04,218.05,-2.067,2.106,4.11,-0.01,0.01,Gaia DR2 727624020367528576,8.79,9.017,8.689,9.98,9.95702,8.604,0,-0.116,-0.069,0.065,[Fe/H],4.44,-0.89,0.78,F,157.06262,25.5731366,19.04405826,0.515613114,-0.504404133,1.699,0.046,-0.045,286.6812227,19.0697044,-18.75187599,0.902,0.06,-0.059,0,1,111.8,2.9895932,60.54870009,-4.9e-06,4.9e-06,1761.948781,6457034792.0,0.043190868,0.3,2.3,12360.62887,0.689,1,83.16,-0.21,0.22,0.0,,,0,,,,6190.30201,0.00022,-0.00022,0,6191.796807,0.0,1.187,0.012,-0.012,1,2016,Ariel,200.0674236,8.059653839,9.990636537,39.0190701,17.04032043,9.677650408,4.311447815,6.843231628,3.048448566,15.021569782430554,51.10122478989583
