,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier2_SNR,Tier2 Transit S/N,cumulative transit [days],N cumulative transit [days]
56,281,281,WASP-166 b,WASP-166 b,1.0,4.165763324,8.097151194,2.709938494,19.87685856,39.07332171,Transit,1,4,8,0,0,0,1.19,-0.06,0.06,6050.0,-50.0,50.0,1.22,-0.06,0.06,114.173,-0.586,0.591,4.34,-0.05,0.05,Gaia DR2 5664957444179338240,8.135,8.35,8.032,9.351,9.257,7.999,0,0.19,-0.05,0.05,[Fe/H],2.1,-0.9,0.9,F9 V,144.8751047,-20.9824191,7.06165786,0.336269422,-0.336269422,0.63,0.03,-0.03,32.10066907,1.589142033,-1.589142033,0.101,0.005,-0.005,0,1,10.4,5.44354,1011.99578,-4e-06,4e-06,1230.002745,9601400360.0,0.064223414,0.3,2.3,12957.32185,0.39,1,88.0,-0.7,0.7,0.0,,,0,,,,7664.3289,0.0006,-0.0006,0,7667.05067,0.0,0.281,0.007,-0.007,1,2019,Ariel,35.63533978982229,6.563521080108466,1.9027846243917477,0.0005008391429725,1.3761923702874026,3.457859425596836,24.971250972916653,66.9252131851736
57,223,223,TOI-1842 b,TOI-1842 b,1.0,4.414435459,8.53603886,1.707470127,10.98489949,21.55222485,Transit,1,4,9,0,0,0,1.46,-0.03,0.03,6230.0,-50.0,50.0,2.02,-0.05,0.05,223.465,-2.216,2.26,4.1,-0.1,0.1,Gaia DR2 3719927426253118848,8.511,8.747,8.446,9.815,9.65981,8.398,0,0.22,-0.05,0.05,[M/H],2.49,-0.22,0.22,,201.9626552,9.0306437,11.65733996,0.672538844,-0.560449037,1.04,0.06,-0.05,68.01527901,12.71313626,-12.07747945,0.214,0.04,-0.038,0,1,15.9,9.5739,754.4815084,-0.0001,0.0002,1304.961554,14976426164.0,0.100176764,0.3,2.3,24982.44787,0.297642946,1,88.4,-1.5,0.9,0.0,,,0,,,,9402.4575,0.0026,-0.0024,0,9407.24445,0.0,0.314667,0.007761,-0.007761,2,2021,Ariel,31.549888931758865,5.103213103549753,1.714631490147582,0.0004115217486637,1.8506305746672436,3.400297875058905,25.838697079513874,71.26244371815972
58,160,160,WASP-31 b,WASP-31 b,1.0,5.44781462,10.69362177,1.0,5.432395867,10.68219341,Eclipse,1,5,11,0,0,0,1.16,,0.03,6302.0,,102.0,1.25,,0.03,383.829,-6.231,6.437,4.31,-0.08,0.07,Gaia DR2 3545873945303316224,10.709,10.912,10.65,11.658,11.8163,10.618,0,0.2,-0.09,0.09,,1.0,-0.5,3.0,,169.4388603,-19.0547781,17.36271115,0.560449037,-0.560449037,1.549,0.05,-0.05,155.4180908,7.945710165,-7.945710165,0.489,0.025,-0.025,0,1,59.4,3.4059096,513.0792078,-5e-06,5e-06,1522.772851,6964223827.0,0.046583437,0.3,2.3,9643.680855,0.77,1,84.41,-0.22,0.22,0.0,,,0,,,,5192.6887,0.0003,-0.0003,0,5194.391655,0.0,1.615,0.027,-0.027,1,2010,Ariel,85.56697040156578,5.256572190696553,4.5757999744983975,0.0018133100279538,3.563140732035974,3.3782615198909567,26.173547109201376,72.93669386659721
59,23,23,WASP-74 b,WASP-74 b,1.0,4.403309419,8.60795269,1.0,1.0,1.005684288,Eclipse,1,1,1,0,0,0,0.98,-0.24,0.24,5990.0,-110.0,110.0,1.42,-0.1,0.1,149.216,-1.132,1.149,4.39,-0.07,0.07,Gaia DR2 4224062406762625152,8.286,8.548,8.221,9.75,9.5723,8.14,0,0.39,,,[Fe/H],3.7,-0.9,0.9,F9,304.538843,-1.0760033,15.24421379,1.120898073,-1.120898073,1.36,0.1,-0.1,262.5262638,6.674396538,-6.674396538,0.826,0.021,-0.021,0,1,0.0,2.13775,57.55910689,-1e-06,1e-06,1853.119534,4826266304.0,0.032282718,0.3,2.3,8246.422994,0.86,1,79.81,-0.24,0.24,0.0,,,0,,,,7205.93774,0.0001,-0.0001,0,7207.006615,0.0,0.96,0.014,-0.014,1,2015,Ariel,227.636581903076,11.518577272207162,12.102400662545485,0.0006851331683367,9.646754039995642,3.339376297714657,26.459881240937488,74.36836452527777
60,96,96,WASP-15 b,WASP-15 b,1.0,4.839059665,9.480944786,1.0,2.398094274,4.739708111,Eclipse,1,2,5,0,0,0,1.18,-0.93,0.93,6300.0,-100.0,100.0,1.48,-0.38,0.38,282.091,-3.294,3.371,4.35,-0.15,0.15,Gaia DR2 6171009049549197824,9.713,9.956,9.693,10.972,10.797,9.645001,0,-0.17,,,[Fe/H],2.4,-0.7,0.6,F7,208.9280111,-32.1597118,15.80466283,4.035233063,-4.035233063,1.41,0.36,-0.36,172.2629964,17.16273396,-16.84490555,0.542,0.054,-0.053,0,1,63.5,3.7521,273.5857796,-1e-05,1e-05,1599.270875,7470934325.0,0.049972805,0.3,2.3,13748.56223,0.525,1,85.96,-0.35,0.35,0.0,,,0,240.0,-200.0,79.0,4584.69819,0.00021,-0.0002,0,4586.57424,0.0,0.97,0.012,-0.012,1,2009,Ariel,85.28460351194816,7.031656883450179,4.7462782141785045,0.0009244176280827,4.58391485637473,3.312147412339161,26.9372618739236,76.75526769020833
61,392,392,HAT-P-26 b,HAT-P-26 b,1.0,4.631788415,9.082261902,9.717004219,80.8997027,161.1119507,Transit,1,5,9,0,0,0,1.12,-0.36,0.36,5079.0,-88.0,88.0,0.87,-0.05,0.05,141.837,-1.133,1.152,4.56,-0.06,0.06,Gaia DR2 3668036348641580288,9.685,10.08,9.581,11.757,11.4641,9.536,0,-0.04,,,[Fe/H],9.0,-4.9,3.0,K1,213.1565508,4.0594175,7.06165786,0.448359229,-0.448359229,0.63,0.04,-0.04,22.24798846,6.356568132,-6.356568132,0.07,0.02,-0.02,0,1,8.5,4.23452,1551.38381,-1.5e-05,1.5e-05,957.7581647,7958662956.0,0.053235204,0.3,2.3,9135.738268,0.303,1,88.6,-0.7,0.7,0.12,-0.06,0.06,0,46.0,-71.0,33.0,6892.59046,0.0001,-0.0001,0,6894.70772,10861.95464,0.54,0.0013,-0.0013,1,2010,Ariel,25.510968645878915,4.548975006015769,1.6721204922109822,0.001106502847527,0.7104153035786385,3.2839566551996584,27.254475008229154,78.3413333617361
62,415,415,pi Men c,pi Men c,3.563479173,10.90473094,18.73405097,104.1081821,248.6651192,422.9288752,Transit,4,11,19,0,0,0,1.09,-0.04,0.04,6037.0,-45.0,45.0,1.1,-0.02,0.02,18.2702,-0.0226,0.0226,4.42,-0.03,0.03,Gaia DR2 4623036865373793408,4.424,4.869,4.241,5.65,5.5128,4.269,0,0.08,-0.03,0.03,[Fe/H],2.98,-1.3,1.4,G0 V,84.2992798,-80.4646041,2.040034493,0.044835923,-0.044835923,0.182,0.004,-0.004,4.821456928,0.839066993,-0.861314982,0.01517,0.00264,-0.00271,0,1,1.58,6.2679,1750.694062,-0.00046,0.00046,1128.309313,10243652842.0,0.068519417,0.3,2.3,10671.30851,0.59,1,87.456,-0.076,0.085,0.0,,,0,,,,8325.504,0.0012,-0.00074,0,8328.63795,0.0,0.03,,,2,2018,Ariel,17.810626961463587,11.812434526927294,0.9635654652054024,9.071580432290768e-05,0.568429419483908,3.198150320514354,27.625006553715266,80.19399108916666
63,334,334,NGTS-5 b,NGTS-5 b,1.0,8.121689253,15.93378352,6.161225349,41.66041845,79.47043992,Transit,1,8,16,1,0,1,0.66,-0.06,0.07,4987.0,-41.0,41.0,0.74,-0.01,0.01,306.779,-2.558,2.601,4.52,-0.04,0.04,Gaia DR2 1159042833731813760,11.708,12.117,11.612,13.789,13.526,11.526,0,0.12,-0.1,0.1,[Fe/H],,,,K2 V,221.0582692,5.6053735,12.73340211,0.257806557,-0.257806557,1.136,0.023,-0.023,72.78270511,11.75965104,-11.75965104,0.229,0.037,-0.037,0,1,41.0,3.3569866,1240.477996,-2.6e-06,2.6e-06,1023.459025,5715387712.0,0.038230018,0.3,2.3,7924.716334,0.658587095,1,86.6,-0.2,0.2,0.0,,,0,,,,7740.35262,0.00026,-0.00026,0,7742.031113,0.0,,,,1,2019,Ariel,52.97434873640787,4.576942212188999,3.326341626227944,0.0029289914381988,1.4462872495767651,3.1450042949275288,27.90017031531249,81.56980989715277
64,19,19,KELT-20 b,KELT-20 b,1.0,4.575606261,8.934502053,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.19,0.14,8720.0,-260.0,250.0,1.56,-0.06,0.06,136.426,-0.807,0.816,4.29,-0.02,0.02,Gaia DR2 2033123654092592384,7.446,7.424,7.415,7.59,7.57492,7.363,0,-0.29,-0.36,0.22,[Fe/H],0.6,,,A2 V,294.6614126,31.2192001,19.51483545,0.77341967,-0.829464574,1.741,0.069,-0.074,1074.895671,0.0,0.0,3.382,0.0,0.0,1,1,0.0,3.4741085,48.95021239,-1.9e-06,1.9e-06,2181.396627,8108946858.0,0.054240447,0.3,2.3,12753.34816,0.503,1,86.12,-0.27,0.28,0.0,,,0,,,,7503.120049,0.00019,-0.00019,0,7504.857103,0.0,1.309,0.014,-0.014,1,2017,Ariel,372.7831557934422,28.778799305217515,17.314433004724773,0.0003423889345228,22.05867578641987,3.141304931921101,28.34299490420138,83.7839328415972
65,382,382,TOI-674 b,TOI-674 b,1.0,5.617766081,11.20959961,7.61019646,65.8170982,132.8981755,Transit,1,6,11,0,0,0,0.42,-0.01,0.01,3514.0,-57.0,57.0,0.42,-0.01,0.01,46.0851,-0.1153,0.1159,4.81,-0.03,0.03,Gaia DR2 5400949450924312576,9.737001,10.359,9.469,14.203,13.0914,9.345,0,0.17,-0.12,0.12,[Fe/H],,,,M2 V,164.5865592,-36.8581092,5.245802982,0.168134711,-0.168134711,0.468,0.015,-0.015,23.59875919,3.29905886,-3.29905886,0.07425,0.01038,-0.01038,0,1,21.44,1.977143,1490.159062,-3e-06,3e-06,698.8670804,3454138899.0,0.023104608,0.3,2.3,4250.228591,0.624,1,87.21,-0.24,0.24,0.0,,,0,,,,8641.404552,0.000102,-0.000102,0,8642.393124,0.0,1.445627,0.021868,-0.021868,2,2021,Ariel,46.80479940170213,8.743823074617953,4.67747150534245,0.0013389016419832,0.7769594381695705,3.094929039150024,28.490572285833323,84.66939713138888
