,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier1_SNR,Tier1 Transit S/N,cumulative days
21,WASP-189 b,WASP-189 b,1,2.315344921,4.206662087,1,1,1,Eclipse,1,1,1,0,0,0,2.03,-0.07,0.07,8000,-80,80,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,18.1473398,0.235388595,-0.235388595,1.619,0.021,-0.021,632.4785291,50.85254506,-44.49597692,1.99,0.16,-0.14,0,1,182,2.724033,29.39367865,,,2606.643375,7231108901,0.048368621,0.3,2.3,16418.59337,0.478,1,84.03,-0.14,0.14,0,,,0,,,,8926.541696,6.50E-05,-6.40E-05,0,8927.903712,0,,,,1,2020,Ariel,372.2352923,19.5819523,20.98555757,0.000244319,122.5139615,19.78849429,589.5678191
22,HD 189733 b,HD 189733 b,1,1,1.213407685,1,1,1,Eclipse,1,1,1,0,0,0,0.79,-0.08,0.08,5052,-16,16,0.75,-0.01,0.01,19.7638,-0.0127,0.0128,4.49,-0.05,0.05,Gaia DR2 1827242816201846144,5.587,6.073,5.541,7.67,7.41432,5.289,0,-0.02,,,[Fe/H],1.4,-1.9,4.9,K2 V,300.1821223,22.7097759,12.66614823,0.112089807,-0.112089807,1.13,0.01,-0.01,370.5879221,16.52707714,-15.57359192,1.166,0.052,-0.049,0,1,208,2.21857567,7.11290839,-1.50E-07,1.50E-07,1162.930605,4604224671,0.030797489,0.3,2.3,6544.78771,0.6636,1,85.71,0,0,0,,,0,20,-50,37,3955.525551,9.00E-06,-9.00E-06,0,3956.634839,0,2.4,0.0058,-0.0058,1,2005,Ariel,1063.0232,23.55256836,61.4458368,0.000626296,114.4812036,38.27137463,591.9378945
23,KELT-20 b,KELT-20 b,1,4.575606261,8.934502053,1,1,1,Eclipse,1,1,1,0,0,0,1.76,-0.19,0.14,8720,-260,250,1.56,-0.06,0.06,136.426,-0.807,0.816,4.29,-0.02,0.02,Gaia DR2 2033123654092592384,7.446,7.424,7.415,7.59,7.57492,7.363,0,-0.29,-0.36,0.22,[Fe/H],0.6,,,A2 V,294.6614126,31.2192001,19.51483545,0.77341967,-0.829464574,1.741,0.069,-0.074,1074.895671,0,0,3.382,0,0,1,1,0,3.4741085,48.95021239,-1.90E-06,1.90E-06,2181.396627,8108946858,0.054240447,0.3,2.3,12753.34816,0.503,1,86.12,-0.27,0.28,0,,,0,,,,7503.120049,0.00019,-0.00019,0,7504.857103,0,1.309,0.014,-0.014,1,2017,Ariel,372.7831558,28.77879931,17.314433,0.000342389,89.58309045,12.43903674,595.7072193
24,HD 209458 b,HD 209458 b,1,1,1,1,1,1,Eclipse,1,1,1,0,0,0,1.23,-0.09,0.09,6091,-10,10,1.19,-0.02,0.02,48.3016,-0.1234,0.124,4.45,-0.02,0.02,Gaia DR2 1779546757669063552,6.366,6.591,6.308,7.65,7.50866,6.308,0,0.01,,,[Fe/H],3.1,-0.7,0.8,G0 V,330.7950219,18.8842419,15.58048322,0.224179615,-0.224179615,1.39,0.02,-0.02,216.7589733,4.449597692,-4.767426099,0.682,0.014,-0.015,0,1,84.27,3.52474859,13.94661498,-3.80E-07,3.80E-07,1405.91027,7265828019,0.048600856,0.3,2.3,11050.66673,0.507,1,86.71,-0.05,0.05,0,,,0,0,0,0,1659.93742,2.00E-05,-2.00E-05,0,1661.699794,0,1.5,0.0024,-0.0024,1,1999,Ariel,509.521035,9.104401123,27.7559536,0.000957051,86.01971568,55.83958995,599.4877704
25,WASP-76 b,WASP-76 b,1,1.061796208,2.069376856,1,1,1,Eclipse,1,1,1,0,0,0,1.46,-0.07,0.07,6250,-100,100,1.73,-0.04,0.04,194.459,-5.839,6.206,4.13,-0.02,0.02,Gaia DR2 2512326349403275520,8.331,8.541,8.243,9.518,9.39507,8.19,0,0.23,-0.1,0.1,[Fe/H],5.3,-2.9,6.1,F7,26.632936,2.700389,20.51243474,0.672538844,-0.448359229,1.83,0.06,-0.04,292.4021341,9.534852198,-9.534852198,0.92,0.03,-0.03,0,1,119.3,1.809886,32.42343465,-1.00E-06,1.00E-06,2110.974286,4933060164,0.032997058,0.3,2.3,13517.1962,0.14,1,88,-1.6,1.3,0,,,0,,,,6107.85507,0.00034,-0.00034,0,6108.760013,0,1.189,0.016,-0.016,1,2016,Ariel,318.3155007,7.085691786,16.98551447,0.001150185,74.4188986,27.24911426,601.6105545
26,WASP-18 b,WASP-18 b,28.32723102,382.5540411,746.2336336,1,1,1,Eclipse,1,1,1,0,0,0,1.29,-0.06,0.06,6432,-48,48,1.32,-0.06,0.06,123.483,-0.369,0.371,4.31,-0.03,0.04,Gaia DR2 4955371367334610048,8.231,8.409,8.131,9.28,9.16617,8.075,0,0.107,-0.08,0.08,[Fe/H],1.57,-0.94,1.4,F6 IV-V,24.3544618,-45.6777937,13.89913611,0.885509478,-0.885509478,1.24,0.079,-0.079,3241.849747,111.2399423,-111.2399423,10.2,0.35,-0.35,0,1,1814,0.94145223,26.66964565,-2.40E-07,2.40E-07,2408.746207,3061681962,0.020479478,0.3,2.3,8176.001493,0.36,1,83.5,-1.6,2,0.0051,-0.0037,0.007,0,-85,-96,72,6740.8056,0.00019,-0.00019,0,6741.276326,0,1.041,0.022,-0.022,1,2009,Ariel,309.0634096,171.1013401,20.48112622,6.33E-05,71.798976,1.426399276,602.741266
27,MASCARA-1 b,MASCARA-1 b,3.29491431,29.60186667,57.7178329,1,1,1,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.07,7554,-150,150,2.1,-0.2,0.2,182.273,-1.922,1.963,4,,,Gaia DR2 1744911763437512064,7.749,7.819,7.74,8.28,8.24243,7.658,0,0,,,[Fe/H],1,-0.2,0.2,A8,317.5515264,10.7388967,16.8134711,3.362694219,-3.362694219,1.5,0.3,-0.3,1175.965104,286.0455659,-286.0455659,3.7,0.9,-0.9,0,1,0,2.14878,17.07636838,-8.00E-06,8.00E-06,2583.193818,5841648628,0.039074573,0.3,2.3,15767.8035,0.2,1,87,-3,2,0,,,0,,,,7097.278,0.002,-0.002,0,7098.35239,0,,,,1,2017,Ariel,196.1631421,42.41464296,11.76207755,0.000130798,64.57738426,4.880786888,605.2550414
28,WASP-121 b,WASP-121 b,1,2.809530879,5.50232336,1,1,1,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1,1,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177,1.27492504,25.72819342,-1.40E-07,1.50E-07,2391.043885,3814175890,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0,,,0,10,-10,10,8119.72074,0.00017,-0.00017,0,8120.358203,0,1.551,0.012,-0.012,1,2016,Ariel,265.47448,9.711048794,15.45298403,0.001278515,64.22845507,17.17139022,606.7754497
29,KELT-7 b,KELT-7 b,1,3.302742034,6.449688055,1,1,1,Eclipse,1,1,1,0,0,0,1.76,-0.25,0.25,6768,-7,7,1.81,-0.07,0.07,136.681,-0.924,0.938,4.5,,,Gaia DR2 181908842994567936,7.58,7.739,7.543,8.56,8.45173,7.496,0,0,,,[Fe/H],1.3,-0.2,0.2,F,78.2955912,33.3179532,17.93436917,0.672538844,-0.672538844,1.6,0.06,-0.06,441.7814852,69.92224945,-69.92224945,1.39,0.22,-0.22,0,1,138,2.73477,53.16610589,-4.00E-06,4.00E-06,1975.133011,6913257612,0.046242526,0.3,2.3,12560.84499,0.597,1,83.76,-0.38,0.38,0,,,0,,,,8343.40408,0.0001,-0.0001,0,8344.771465,0,0.83,0.012,-0.012,1,2015,Ariel,253.5204325,14.00462372,14.0042371,0.000434907,60.77575796,15.55059373,609.80098
30,MASCARA-4 b,MASCARA-4 b,1.815875919,16.68995543,32.57849245,1,1,1,Eclipse,1,1,1,0,0,0,1.75,-0.05,0.05,7800,-200,200,1.92,-0.11,0.11,170.696,-0.928,0.938,4.1,-0.05,0.05,Gaia DR2 5245968236116294016,7.785,7.837,7.75,8.191,8.17401,7.627,0,0,,,[Fe/H],0.8,,,A7 V,147.5800667,-66.1139253,17.14974052,0.784628651,-0.448359229,1.53,0.07,-0.04,985.2680604,286.0455659,-286.0455659,3.1,0.9,-0.9,0,1,0,2.82406,19.90042838,-3.00E-05,3.00E-05,2321.685164,7049526418,0.047154023,0.3,2.3,15206.56976,0.34,1,88.5,-0.01,0.01,0,,,0,,,,8505.817,0.003,-0.003,0,8507.22903,0,,,,1,2020,Ariel,201.8768094,34.15666354,11.07473554,0.000178125,60.28323075,6.498864262,612.9770439
31,TOI-1518 b,TOI-1518 b,1,8.501980082,16.87927251,1,1,1,Eclipse,1,1,1,0,0,0,1.79,-0.26,0.26,7300,-100,100,1.95,-0.05,0.05,225.888,-1.666,1.69,4.1,-0.2,0.2,Gaia DR2 2210596444367488384,8.384,8.429,8.325,8.952,8.89529,8.270001,0,-0.1,-0.12,0.12,[Fe/H],,,,F0,352.2675207,67.0348062,21.01683887,0.594075979,-0.594075979,1.875,0.053,-0.053,731.0053352,0,0,2.3,0,0,1,0,0,1.902603,24.45326838,-1.10E-05,1.10E-05,2488.500269,5458597956,0.036512361,0.3,2.3,8159.357671,0.9036,1,77.84,-0.26,0.23,0,,,1,,,,8787.049255,9.40E-05,-9.40E-05,0,8788.000556,0,0.911,0.000414,-0.000414,1,2021,Ariel,268.0552138,16.87414985,15.4971019,0.000459152,59.69666371,9.042354927,615.0685209
32,XO-6 b,XO-6 b,1.632703243,21.25784366,41.37596641,1,1,1,Eclipse,1,1,1,0,0,0,1.47,-0.06,0.06,6720,-100,100,1.93,-0.18,0.18,235.479,-2.393,2.443,4.04,-0.1,0.1,Gaia DR2 1114308481600798336,9.266,9.471,9.246,10.247,10.191,9.213,0,-0.07,-0.1,0.1,[Fe/H],1.88,-0.2,0.9,F5,94.7929552,73.8275672,23.20259011,2.465975761,-2.465975761,2.07,0.22,-0.22,1398.444989,0,0,4.4,0,0,1,1,0,3.7650007,40.74000389,-8.10E-06,8.10E-06,1875.839925,8057131756,0.053893858,0.3,2.3,15793.31496,0.633,1,86,-0.2,0.2,0,,,0,,,,6652.71245,0.00055,-0.00055,0,6654.59495,0,,,,1,2016,Ariel,158.7929473,26.48552555,11.68159608,0.000248514,55.33903393,6.139303639,619.1991076
33,WASP-77 A b,WASP-77 A b,1,9.744476487,19.07806911,1,1,1,Eclipse,1,1,1,0,0,0,0.9,-0.06,0.07,5617,-72,72,0.91,-0.02,0.03,105.166,-1.182,1.209,4.48,-0.02,0.01,Gaia DR2 5178405479960844160,8.374,8.766,8.405,10.294,10.0966,8.106,0,-0.1,-0.11,0.1,[Fe/H],6.2,-3.5,4,G8 V,37.1555223,-7.0606675,13.7870463,0.347478403,-0.325060441,1.23,0.031,-0.029,529.8199538,21.61233165,-20.34101802,1.667,0.068,-0.064,0,1,323.4,1.36002854,33.78346319,-6.20E-07,6.20E-07,1640.556222,3470117371,0.023211487,0.3,2.3,7789.277258,0.109,1,88.91,-0.95,0.74,0.0074,-0.0049,0.0069,0,-166,-75,66,7420.88439,0.0008,-0.00085,0,7421.564404,0,1.783,0.02,-0.019,1,2012,Ariel,370.4149806,28.41986342,18.6990024,0.000541377,53.15521971,8.834827514,620.7394435
34,WASP-12 b,WASP-12 b,1,8.462711808,16.60250054,1,1,1.108532458,Eclipse,1,1,1,0,0,0,1.43,-0.11,0.11,6360,-140,140,1.66,-0.05,0.05,427.246,-5.903,6.068,4.16,-0.01,0.01,Gaia DR2 3435282862461427072,10.228,10.477,10.188,11.569,11.4999,10.111,0,0.07,-0.07,0.07,[Fe/H],2,-2,0.7,,97.636645,29.6722662,21.71179568,0.627702921,-0.627702921,1.937,0.056,-0.056,465.6186157,25.10844412,-25.10844412,1.465,0.079,-0.079,0,1,226.4,1.09142,69.49588939,-1.40E-07,1.40E-07,2499.272484,3496803790,0.023389992,0.3,2.3,10809.21964,0.339,1,83.52,-0.03,0.03,0.0447,-0.0043,0.0043,0,272.7,-1.3,2.4,6594.6816,4.00E-05,-4.00E-05,0,6595.22731,9885.205733,1.389,0.013,-0.013,1,2008,Ariel,197.2645976,10.07105558,12.69031153,0.001101438,50.44857415,10.30519793,622.0810769
35,HD 202772 A b,HD 202772 A b,1,3.928940044,7.517633582,1,1,1,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.06,6272,-71,77,2.59,-0.09,0.08,161.498,-2.388,2.459,3.85,-0.03,0.03,Gaia DR2 6790773586275235200,7.048,7.232,6.959,8.324,8.22688,6.882,0,0.3,-0.06,0.06,[Fe/H],1.7,-0.26,0.32,,319.6995877,-26.6163743,17.31787523,0.582866998,-0.672538844,1.545,0.052,-0.06,323.2314895,22.24798846,-21.61233165,1.017,0.07,-0.068,0,1,96.4,3.308958,10.42186639,-8.30E-05,8.30E-05,2062.654694,7789955294,0.052106724,0.3,2.3,20841.44518,0.403,1,84.51,-0.82,1.1,0.038,-0.027,0.042,0,98,-52,65,8338.61047,0.00024,-0.00024,0,8340.264949,22471.31233,0.3755,0.01,-0.0099,2,2019,Ariel,175.9905804,10.98906127,9.243530279,0.000272963,50.15575357,14.50776377,625.8724758
36,HAT-P-32 b,HAT-P-32 b,1,1,1.657981718,1,1,1,Eclipse,1,1,1,0,0,0,1.13,-0.05,0.05,6001,-88,88,1.37,-0.03,0.03,289.205,-5.167,5.355,4.22,-0.04,0.04,Gaia DR2 356348286886230272,10.024,10.251,9.99,11.439,11.1335,9.902,0,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,31.0427614,46.6878512,22.19378185,0.504404133,-0.504404133,1.98,0.045,-0.045,216.1233165,34.96112473,-31.78284066,0.68,0.11,-0.1,0,1,99,2.1500082,2.1500082,-1.30E-07,1.30E-07,1777.378359,5080239714,0.033981537,0.3,2.3,12802.4963,0.083,1,88.98,-0.85,0.68,0.159,-0.028,0.051,0,50,-18,27,5867.402743,4.90E-05,-4.90E-05,0,5868.477747,16353.75933,2.216,0.017,-0.016,1,2011,Ariel,214.6247267,4.473785336,12.6267487,0.002646287,49.60138056,31.64809895,628.3188381
37,TOI-1431 b,TOI-1431 b,2.610499483,26.63203444,52.29960489,1,1,1,Eclipse,1,1,1,0,0,0,1.9,-0.08,0.1,7690,-250,400,1.92,-0.07,0.07,148.925,-1.02,1.034,4.15,-0.04,0.04,Gaia DR2 2188906825165621120,7.452,7.541,7.439,8.03,7.97561,7.335,0,0.09,-0.03,0.03,[Fe/H],0.29,-0.19,0.32,Am C,316.2036922,55.5880221,16.70138129,0.560449037,-0.560449037,1.49,0.05,-0.05,991.6246286,57.20911319,-57.20911319,3.12,0.18,-0.18,0,1,294.1,2.650237,22.55066538,-3.00E-06,3.00E-06,2306.103917,6945001151,0.046454857,0.3,2.3,8768.184461,0.881,1,80.13,-0.13,0.13,0.0022,-0.0016,0.003,0,108,-31,92,8739.17737,7.00E-05,-7.00E-05,0,8740.502489,8804.953165,0.5797,0.0007,-0.0007,2,2021,Ariel,222.3696448,36.24755076,12.09508556,0.000162365,49.4959251,5.11132149,631.1720423
38,HAT-P-70 b,HAT-P-70 b,5.916417541,86.25254725,169.0209027,1,1,1,Eclipse,1,1,1,0,0,0,1.89,-0.01,0.01,8450,-690,540,1.86,-0.09,0.12,330.739,-6.552,6.818,4.18,-0.06,0.06,Gaia DR2 3291455819447952768,9.023,9.068,8.963,9.47,9.45174,8.941,0,-0.059,-0.088,0.075,[Fe/H],0.6,-0.2,0.38,,74.5523332,9.9979794,20.96079397,1.68134711,-1.120898073,1.87,0.15,-0.1,2154.876597,0,0,6.78,0,0,1,0,0,2.74432452,4.89433272,-6.80E-07,7.90E-07,2467.441219,7095922962,0.047464368,0.3,2.3,12528.47884,-0.629,1,96.5,-0.91,1.42,0,,,0,,,,8439.57519,0.00045,-0.00037,0,8440.947352,0,0.8443,,,1,2019,Ariel,183.0540229,50.00841504,8.967247577,0.000168394,47.07522681,2.926536918,634.2063779
39,TOI-2109 b,TOI-2109 b,19.94064341,317.5842288,622.5755266,1,1,1.160503357,Eclipse,1,1,1,0,0,0,1.45,-0.07,0.07,6540,-160,160,1.7,-0.06,0.06,262.041,-2.698,2.753,4.14,-0.05,0.04,Gaia DR2 4558177980120149632,9.129,9.382,9.07,10.217,10.1138,9.059,0,0.068,-0.062,0.07,[Fe/H],1.77,-0.68,0.88,F,253.1862971,16.5799153,15.09849704,0.526822094,-0.526822094,1.347,0.047,-0.047,1595.498601,238.3713049,-238.3713049,5.02,0.75,-0.75,0,1,860,0.67247414,85.15756773,-2.80E-07,3.00E-08,3049.33241,2543730161,0.017014917,0.3,2.3,6869.119178,0.7481,1,70.74,-0.37,0.37,0,,,0,,,,9378.45937,5.90E-05,-5.90E-05,0,9378.795607,0,0.6651,0.0036,-0.0036,2,2021,Ariel,192.7806032,71.36169143,15.07377228,0.000125753,45.37943748,1.594133393,635.0378594
40,XO-3 b,XO-3 b,49.756175,677.3259406,1321.14917,1,1,1,Eclipse,1,1,1,0,0,0,0.58,-0.14,0.14,6429,-50,50,1.54,-0.11,0.11,213.053,-2.658,2.724,3.95,-0.06,0.06,Gaia DR2 470650560777348352,8.845,9.013,8.791,9.854,9.73889,8.754,0,-0.18,,,[Fe/H],2.82,-0.82,0.58,F5V,65.4695814,57.8172095,15.80466283,1.345077688,-1.345077688,1.41,0.12,-0.12,3718.592357,133.4879308,-136.6662148,11.7,0.42,-0.43,0,1,1468.9,3.19154,36.97500319,-0.00014,0.00014,1977.826146,5293068392,0.03540514,0.3,2.3,17396.77006,0.5,1,84.19300096,-1.36,1.36,0.29,0,0,0,349.35,-0.68,0.67,5024.34346,0.00013,-0.00013,0,5025.93923,15626.87991,0.89,0.078,-0.078,1,2007,Ariel,162.7577748,151.7903792,8.74891976,4.89E-05,43.47252086,1.08755791,638.6321024
41,KELT-11 b,KELT-11 b,1,1,1,1,1,1,Transit,1,1,1,0,0,0,1.44,-0.07,0.07,5375,-25,25,2.69,-0.04,0.04,99.1596,-0.52105,0.52105,3.7,-0.1,0.1,Gaia DR2 3761497761876022400,6.251,6.616,6.122,8.04,7.83112,6.152,0,0.17,-0.07,0.07,[Fe/H],,,,G8/K0 IV,161.7069053,-9.3993646,15.13212399,1.120898073,-1.120898073,1.35,0.1,-0.1,54.34865753,4.767426099,-4.767426099,0.171,0.015,-0.015,0,1,0,4.7361,45.47610389,-3.00E-05,3.00E-05,1646.55533,9324653866,0.062372267,0.3,2.3,25534.76868,0.404,1,85.3,-0.2,0.2,0.0007,-0.0005,0.002,0,-1,-74.6,147.4,7483.431,0.0007,-0.0007,0,7485.79905,0,0.265,0.035,-0.038,1,2017,Ariel,154.8677036,2.420054703,8.565491928,0.000801472,43.26356953,72.10517038,643.9592851
42,KELT-4 A b,KELT-4 A b,1,2.71432317,5.307241214,1,1,1.015967247,Eclipse,1,1,1,0,0,0,1.2,-0.06,0.07,6206,-75,75,1.6,-0.04,0.04,218.05,-2.067,2.106,4.11,-0.01,0.01,Gaia DR2 727624020367528576,8.79,9.017,8.689,9.98,9.95702,8.604,0,-0.116,-0.069,0.065,[Fe/H],4.44,-0.89,0.78,F,157.06262,25.5731366,19.04405826,0.515613114,-0.504404133,1.699,0.046,-0.045,286.6812227,19.0697044,-18.75187599,0.902,0.06,-0.059,0,1,111.8,2.9895932,60.54870009,-4.90E-06,4.90E-06,1761.948781,6457034792,0.043190868,0.3,2.3,12360.62887,0.689,1,83.16,-0.21,0.22,0,,,0,,,,6190.30201,0.00022,-0.00022,0,6191.796807,0,1.187,0.012,-0.012,1,2016,Ariel,200.0674236,8.059653839,9.990636537,0.000916091,39.0190701,17.04032043,647.2350039
