,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier1_SNR,Tier1 Transit S/N,cumulative days
11,HD 63433 b,HD 63433 b,2.299000032,9.449607462,17.07386802,110.6584429,334.3296409,598.2044438,Transit,2,9,17,0,0,0,0.99,-0.03,0.03,5640,-74,74,0.91,-0.03,0.03,22.4035,-0.0225,0.0225,4.53,-0.09,0.09,Gaia DR2 875071278432954240,5.359,5.624,5.258,6.92035,6.71831,5.246,0,0.017,-0.017,0.017,[M/H],0.414,-0.023,0.023,G5IV,117.4793699,27.3631342,2.1521243,0.100880827,-0.100880827,0.192,0.009,-0.009,5.275951549,0,0,0.0166,0,0,1,0,0,7.10793,1811.614141,-0.00034,0.0004,934.2619124,10787938769,0.072160126,0.3,2.3,11540.51277,0.18,1,89.38,-0.64,0.43,0,,,0,,,,8916.4526,0.0032,-0.0027,0,8920.006565,0,0.0467,0.0024,-0.0023,2,2020,Ariel,13.25570232,11.61454605,0.838442664,0.000117759,1.553232372,11.0099244,440.5069377
12,K2-141 c,K2-141 c,1,1,1,6.277097614,46.09100343,91.41320048,Transit,1,1,1,0,0,0,0.71,-0.03,0.03,4599,-79,79,0.68,-0.02,0.02,61.8736,-0.1654,0.1662,4.62,-0.03,0.02,Gaia DR2 2643952940813536768,8.524,9.086,8.401,11.454,10.7217,8.311,0,-0.06,-0.1,0.08,[Fe/H],6.3,-4.7,6.6,K7 V,350.9170464,-1.1891827,6.994403976,4.5956821,-2.802245183,0.624,0.41,-0.25,7.399045306,0,0,0.02328,0,0,1,0,0,7.7485,1309.517619,-0.00022,0.00022,720.1851074,10228120933,0.068415525,0.1,2.3,9593.821339,0.5,1,88.67521158,-2,1.6,0,,,0,90,,,7751.1546,0.001,-0.001,0,7755.02885,0,,,,1,2018,Ariel,40.11068778,1.542092433,3.370680046,0.003736995,2.80274137,75.04072306,448.4775169
13,AU Mic b,AU Mic b,1,1.363524543,2.301135939,20.53383495,40.45154108,71.19229732,Transit,1,1,2,0,0,0,0.5,-0.03,0.03,3700,-100,100,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,17.00064147,4.999440836,-4.999440836,0.05349,0.01573,-0.01573,0,1,8.5,8.463,1193.547166,-2.00E-06,2.00E-06,626.4279341,9650967990,0.06455497,0.1,2.3,13016.35933,0.18,1,89.5,-0.3,0.3,0,,,0,,,,8330.39051,0.00015,-0.00015,0,8334.62201,0,,,,2,2020,Ariel,58.88061063,10.47022362,6.123976635,0.00022894,4.348291946,32.06564015,483.5347354
14,GJ 436 b,GJ 436 b,1,1.355341408,2.619652447,1.704022646,9.349614676,16.28245989,Transit,1,1,3,0,0,0,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.9,6.073,10.67,9.57148,6.017,0,0.099,-0.078,0.078,[Fe/H],6,-5,4,M2.5 V,175.5505363,26.7030669,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,678.102424,-5.70E-07,5.70E-07,708.0229527,4352700318,0.029115052,0.1,2.3,4248.748378,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351,-0.03,0.03,4510.80162,7.00E-05,-7.00E-05,0,4512.123562,4068.837389,0.6819,0.0028,-0.0028,1,2004,Ariel,118.8379671,14.89588137,12.84120812,0.000495485,6.916534293,23.66579408,494.5036705
15,GJ 3470 b,GJ 3470 b,1,1.335633556,2.644245823,6.220076699,45.89211853,90.69894119,Transit,1,1,3,0,0,0,0.54,-0.04,0.05,3600,-100,100,0.55,-0.02,0.02,29.4214,-0.0507,0.0508,4.7,-0.05,0.05,Gaia DR2 654687847820642560,8.206,8.794,7.989,12.332,11.3537,7.807,0,0.2,-0.1,0.1,[Fe/H],1.65,-1.35,1.35,M1.5,119.7735021,15.391209,4.573264138,0.179343692,-0.179343692,0.408,0.016,-0.016,12.57964833,1.309453035,-1.280848479,0.03958,0.00412,-0.00403,0,1,8.21,3.3366496,1296.401366,-3.30E-06,3.90E-06,702.7322631,5323978594,0.035611897,0.1,2.3,6592.825576,0.4,1,89.13,-0.34,0.26,0.017,-0.012,0.016,0,1.7,-1.2,0.96,5983.70421,,,0,5985.372535,6599.4788,0.52,0.04,-0.04,1,2012,Ariel,40.34676831,6.132704983,4.221995773,0.00091642,2.787294731,21.67584755,508.4607157
16,TOI-674 b,TOI-674 b,1,5.617766081,11.20959961,7.61019646,65.8170982,132.8981755,Transit,1,6,11,0,0,0,0.42,-0.01,0.01,3514,-57,57,0.42,-0.01,0.01,46.0851,-0.1153,0.1159,4.81,-0.03,0.03,Gaia DR2 5400949450924312576,9.737001,10.359,9.469,14.203,13.0914,9.345,0,0.17,-0.12,0.12,[Fe/H],,,,M2 V,164.5865592,-36.8581092,5.245802982,0.168134711,-0.168134711,0.468,0.015,-0.015,23.59875919,3.29905886,-3.29905886,0.07425,0.01038,-0.01038,0,1,21.44,1.977143,1490.159062,-3.00E-06,3.00E-06,698.8670804,3454138899,0.023104608,0.3,2.3,4250.228591,0.624,1,87.21,-0.24,0.24,0,,,0,,,,8641.404552,0.000102,-0.000102,0,8642.393124,0,1.445627,0.021868,-0.021868,2,2021,Ariel,46.8047994,8.743823075,4.677471505,0.001338902,3.086657934,12.16591555,516.7628274
17,TOI-421 c,TOI-421 c,1,6.518117127,12.67943069,60.93284889,418.6898016,826.5828234,Transit,1,7,13,0,0,0,0.85,-0.02,0.03,5325,-58,78,0.87,-0.01,0.01,74.7969,-0.2029,0.2041,4.49,-0.02,0.03,Gaia DR2 2984582227215748864,8.219,8.547,8.071,9.931,9.77776,8.058,0,-0.02,-0.05,0.05,[Fe/H],9.4,-3.1,2.4,G9 V,81.8532824,-14.2767404,5.088877252,0.15692573,-0.14571675,0.454,0.014,-0.013,16.41901548,1.061546878,-1.03929889,0.05166,0.00334,-0.00327,0,1,4.66,16.06819,1849.898768,-0.00035,0.00035,717.7870836,17661012342,0.118133862,0.1,2.3,11385.65589,0.738,1,88.353,-0.084,0.078,0.152,-0.042,0.042,0,114.7,-13.3,15.6,8440.13162,0.0007,-0.00068,0,8448.165715,15034.03695,0.289,4.70E-05,-4.70E-05,2,2020,Ariel,12.54020879,6.464564986,1.049584178,0.000394908,0.939404465,10.10860057,582.0898148
18,HIP 65 A b,HIP 65 A b,1,1,1.7553946,1,1,1,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590,-49,49,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.10E-06,3.10E-06,1361.757722,2660935422,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1,0.92,0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0,8.2,5.8,-3.4,2,2020,Ariel,1579.037899,20.11014765,96.35935477,0.001674264,195.9476219,28.35450222,583.2116736
19,KELT-9 b,KELT-9 b,1,1.793284766,3.47511354,1,1,1,Eclipse,1,1,1,0,0,0,2.52,-0.2,0.25,10170,-450,450,2.36,-0.06,0.07,204.455,-1.558,1.582,4.09,-0.01,0.01,Gaia DR2 2064327278651198336,7.492,7.458,7.482,7.55,7.57675,7.399,0,-0.03,-0.2,0.2,[Fe/H],0.3,,,B9.5-A0,307.8598998,39.9389161,21.19618256,0.683747825,-0.594075979,1.891,0.061,-0.053,775.5013121,222.4798846,-222.4798846,2.44,0.7,-0.7,0,1,0,1.4811235,50.43133589,-1.10E-06,1.10E-06,3916.236076,5177168998,0.034629893,0.3,2.3,14066.71499,0.177,1,86.79,-0.25,0.25,0,,,0,90,,,7095.68572,0.00014,-0.00014,0,7096.426282,0,0.677,0.0072,-0.0072,1,2017,Ariel,343.1458705,17.59962354,23.31423631,0.000477025,139.4901761,20.11604068,585.0184155
20,WASP-33 b,WASP-33 b,1,2.223157227,4.373788659,1,1,1,Eclipse,1,1,1,0,0,0,1.5,-0.03,0.03,7430,-100,100,1.44,-0.03,0.03,121.944,-0.983,0.998,4.25,-0.07,0.1,Gaia DR2 328636019723252096,7.516,7.581,7.468,8.14,8.07004,7.383,0,0.1,,,[M/H],,,,A5,36.7127375,37.5504441,17.8559063,0.829464574,-0.829464574,1.593,0.074,-0.074,665.214855,44.17814852,-44.17814852,2.093,0.139,-0.139,0,1,304,1.21987,30.61354865,-1.00E-06,1.00E-06,2599.597377,3826520992,0.025595458,0.3,2.3,9739.03043,0.21,1,86.63,-0.03,0.03,0,,,0,,,,4163.22367,0.00022,-0.00022,0,4163.833605,0,1.1,0.019,-0.019,1,2010,Ariel,548.1600365,21.27327167,29.99360948,0.000592749,127.7972627,17.63667669,586.463726
