,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier1_SNR,Tier1 Transit S/N,Tier2_SNR,Tier2 Transit S/N,Tier3_SNR,Tier3 Transit S/N,cumulative days
11,394,394,GJ 1214 b,GJ 1214 b,1.0,1.681674322,3.355061692,10.92159468,95.10109278,177.6258751,Transit,1,2,3,0,0,0,0.18,-0.01,0.01,3250.0,-100.0,100.0,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.782,15.1,13.0089,8.598,0,0.29,-0.12,0.12,[Fe/H],3.0,,,M4 V,258.8313991,4.9606795,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,1605.942394,-1.3e-07,1.3e-07,603.9487151,2243025902.0,0.015003518,0.1,2.3,3035.292692,0.325,1,88.7,-0.1,0.1,0.0,,,1,0.0,,,5701.413328,6.6e-05,-5.9e-05,0,5702.20353,0.0,,,,1,2009,Ariel,51.17792014,11.04756378,6.748865499,2.146897998,20.45273268,0.540143386,5.208267535,0.381889754,3.682631031,20.649498567245367
12,404,404,TOI-824 b,TOI-824 b,7.706648836,120.384065,236.5120088,17.74522933,148.5187611,290.2388733,Transit,8,120,237,0,0,0,0.71,-0.03,0.03,4600.0,-100.0,110.0,0.69,-0.03,0.03,63.9262,-0.1428,0.1435,4.61,-0.03,0.03,Gaia DR2 5880886001621564928,8.557,9.145001,8.432,11.314,10.7616,8.154,0,-0.092,-0.077,0.076,[Fe/H],7.5,-2.9,1.8,K4 V,222.1654705,-57.5888666,2.925543971,0.201761653,-0.190552672,0.261,0.018,-0.017,18.46583042,1.843404758,-1.875187599,0.0581,0.0058,-0.0059,0,1,13.2,1.392978,1659.334664,-1.7e-05,1.8e-05,1207.388375,3257968900.0,0.021792434,0.3,2.3,4093.277877,0.745,1,83.65,-0.38,0.39,0.0,,,0,,,,8639.60354,0.00035,-0.00035,0,8640.300029,0.0,0.149,0.014,-0.014,2,2020,Ariel,21.30054199,21.99843204,1.283053858,1.92375885,2.447670396,0.481332195,0.620811645,0.340361038,0.438954139,22.1372283699537
13,174,174,LTT 9779 b,LTT 9779 b,1.0,11.04054465,21.585212,1.0,6.450322222,12.81741331,Eclipse,1,6,13,0,0,0,0.77,-0.21,0.29,5443.0,-13.0,14.0,0.95,-0.01,0.01,80.4373,-0.315,0.3174,4.35,-0.12,0.16,Gaia DR2 2307504062045842688,8.153,8.446,8.016,9.79,9.60006,7.936,0,0.27,-0.03,0.03,[Fe/H],1.9,-1.2,1.7,G7 V,358.6688767,-37.6282237,4.718980888,0.235388595,-0.235388595,0.421,0.021,-0.021,29.31967051,0.778679596,-0.810462437,0.09225,0.00245,-0.00255,0,1,19.65,0.792052,556.1111665,-9.3e-06,9.3e-06,1996.286523,2297368621.0,0.015367014,0.3,2.3,5821.400333,0.5,1,81.73208572,-0.43,0.43,0.0,,,0,90.0,,,8354.2143,0.00025,-0.00025,0,8354.610326,0.0,0.157052,0.005176,-0.005176,2,2020,Ariel,67.14580801,13.42452082,4.251276049,11.02925134,8.260003336,2.749666375,2.091919982,1.944370316,1.479115931,23.064035007291665
14,203,203,GJ 436 b,GJ 436 b,1.0,1.355341408,2.619652447,1.704022646,9.349614676,16.28245989,Transit,1,1,3,0,0,0,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.9,6.073,10.67,9.57148,6.017,0,0.099,-0.078,0.078,[Fe/H],6.0,-5.0,4.0,M2.5 V,175.5505363,26.7030669,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,678.102424,-5.7e-07,5.7e-07,708.0229527,4352700318.0,0.029115052,0.1,2.3,4248.748378,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351.0,-0.03,0.03,4510.80162,7e-05,-7e-05,0,4512.123562,4068.837389,0.6819,0.0028,-0.0028,1,2004,Ariel,118.8379671,14.89588137,12.84120812,6.916534293,23.66579408,1.740016817,6.018904487,1.230297279,4.255794529,25.80626878418981
15,297,297,DS Tuc A b,DS Tuc A b,75.5481241,546.3818335,1043.190067,5.344251599,25.1211889,48.2315567,Eclipse,5,25,48,0,0,0,1.01,-0.06,0.06,5428.0,-80.0,80.0,0.96,-0.03,0.03,44.0622,-0.0691,0.0693,4.6,-0.15,0.15,Gaia DR2 6387058411482257536,6.759,7.122,6.676,8.17,8.31926,6.767,0,0.0,,,,0.045,-0.004,0.004,G6 V,354.9154673,-69.196043,5.705371192,0.168134711,-0.168134711,0.509,0.015,-0.015,413.1769286,0.0,0.0,1.3,0.0,0.0,1,0,0.0,8.138268,1077.103053,-1.1e-05,1.1e-05,879.83315,11885745570.0,0.079503315,0.3,2.3,13070.42363,0.18,1,89.5,-0.41,0.34,0.0,,,0,,,,8332.30997,0.00026,-0.00026,0,8336.379104,0.0,0.2936,0.0026,-0.0026,2,2019,Ariel,39.81940605,129.4208945,2.672516821,4.753425413,1.233573152,1.188629442,0.312420342,0.840480626,0.22090039,34.247092886736105
16,326,326,AU Mic b,AU Mic b,1.0,1.363524543,2.301135939,20.53383495,40.45154108,71.19229732,Transit,1,1,2,0,0,0,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,17.00064147,4.999440836,-4.999440836,0.05349,0.01573,-0.01573,0,1,8.5,8.463,1193.547166,-2e-06,2e-06,626.4279341,9650967990.0,0.06455497,0.1,2.3,13016.35933,0.18,1,89.5,-0.3,0.3,0.0,,,0,,,,8330.39051,0.00015,-0.00015,0,8334.62201,0.0,,,,2,2020,Ariel,58.88061063,10.47022362,6.123976635,4.348291946,32.06564015,1.092627861,8.152131231,0.772511504,5.764130831,43.011397500856475
17,386,386,K2-39 b,K2-39 b,13.11909497,138.7664527,267.6029769,10.24301604,70.71022899,138.1712322,Eclipse,10,71,138,0,0,0,0.66,-0.56,0.56,4881.0,-20.0,20.0,2.97,-0.77,0.77,307.47,-4.656,4.656,3.44,-0.07,0.07,Gaia DR2 2609222216055014144,8.594,9.082,8.516,10.831,10.5959,8.419,0,0.32,,,[Fe/H],3.09,-0.7,0.92,,338.3682095,-9.0229405,6.277029209,1.68134711,-1.68134711,0.56,0.15,-0.15,39.79847307,4.398745147,-4.398745147,0.12522,0.01384,-0.01384,0,1,13.8,4.60543,1509.27468,-0.00046,0.00046,1806.045712,7056555291.0,0.047201039,0.3,2.3,31662.18183,0.57,1,80.39,-4.19,4.19,0.0,,,0,,,,6980.8236,0.0039,-0.0039,0,6983.126315,0.0,0.037,0.0034,-0.0034,1,2016,Ariel,9.439252056,10.29898095,0.589443505,3.251329503,2.348921601,0.812732587,0.595435788,0.574708306,0.421010982,48.34974837655092
18,382,382,TOI-674 b,TOI-674 b,1.0,5.617766081,11.20959961,7.61019646,65.8170982,132.8981755,Transit,1,6,11,0,0,0,0.42,-0.01,0.01,3514.0,-57.0,57.0,0.42,-0.01,0.01,46.0851,-0.1153,0.1159,4.81,-0.03,0.03,Gaia DR2 5400949450924312576,9.737001,10.359,9.469,14.203,13.0914,9.345,0,0.17,-0.12,0.12,[Fe/H],,,,M2 V,164.5865592,-36.8581092,5.245802982,0.168134711,-0.168134711,0.468,0.015,-0.015,23.59875919,3.29905886,-3.29905886,0.07425,0.01038,-0.01038,0,1,21.44,1.977143,1490.159062,-3e-06,3e-06,698.8670804,3454138899.0,0.023104608,0.3,2.3,4250.228591,0.624,1,87.21,-0.24,0.24,0.0,,,0,,,,8641.404552,0.000102,-0.000102,0,8642.393124,0.0,1.445627,0.021868,-0.021868,2,2021,Ariel,46.8047994,8.743823075,4.677471505,3.086657934,12.16591555,0.776959438,3.094929039,0.549368275,2.188337221,50.42527629763888
19,5,5,HIP 65 A b,HIP 65 A b,1.0,1.0,1.7553946,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590.0,-49.0,49.0,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11.0,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.1e-06,3.1e-06,1361.757722,2660935422.0,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1.0,0.92,0.0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0.0,8.2,5.8,-3.4,2,2020,Ariel,1579.037899,20.11014765,96.35935477,195.9476219,28.35450222,49.01441584,7.191807947,34.65930918,5.085075501,51.547135113310176
20,20,20,KELT-9 b,KELT-9 b,1.0,1.793284766,3.47511354,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.52,-0.2,0.25,10170.0,-450.0,450.0,2.36,-0.06,0.07,204.455,-1.558,1.582,4.09,-0.01,0.01,Gaia DR2 2064327278651198336,7.492,7.458,7.482,7.55,7.57675,7.399,0,-0.03,-0.2,0.2,[Fe/H],0.3,,,B9.5-A0,307.8598998,39.9389161,21.19618256,0.683747825,-0.594075979,1.891,0.061,-0.053,775.5013121,222.4798846,-222.4798846,2.44,0.7,-0.7,0,1,0.0,1.4811235,50.43133589,-1.1e-06,1.1e-06,3916.236076,5177168998.0,0.034629893,0.3,2.3,14066.71499,0.177,1,86.79,-0.25,0.25,0.0,,,0,90.0,,,7095.68572,0.00014,-0.00014,0,7096.426282,0.0,0.677,0.0072,-0.0072,1,2017,Ariel,343.1458705,17.59962354,23.31423631,139.4901761,20.11604068,34.59657213,5.07682285,24.46372993,3.58958353,53.353877015856476
