,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier1_SNR,Tier1 Transit S/N
496,496,496,TOI-216.02,TOI-216.02,1.0,6.548652897,12.85514393,272.9698178,2158.21082,4308.073844,Transit,1,7,13,0,0,0,0.77,-0.03,0.03,5026.0,-125.0,125.0,0.75,-0.02,0.02,177.945,-0.875,0.883,4.66,-0.2,0.2,Gaia DR2 4664811297844004352,10.332,10.759,10.218,12.324,12.1631,10.168,0,0.32,-0.1,0.1,[M/H],,,,,73.9800129,-63.2603301,8.003212242,3.004006836,-1.99519857,0.714,0.268,-0.178,18.75187599,0.635656813,-0.635656813,0.059,0.002,-0.002,0,0,0.0,17.16073,2574.426525,,,625.6065447,17854679567.0,0.119429295,0.1,2.3,6820.238705,0.98,1,88.6,-0.04,0.03,0.16,-0.002,0.003,0,291.8,-1.0,0.8,8324.5911,,,0,8333.171465,5055.94046,0.475,0.014,-0.015,2,2019,Ariel,11.299991348196444,2.985054038796803,1.0861997129719998,0.0015774181471757,0.5405597499741699,10.890610388543212
388,388,388,V1298 Tau b,V1298 Tau b,1.0,5.66233097,10.87339862,12.24686903,71.93580977,139.4910749,Transit,1,6,11,0,0,0,1.1,-0.05,0.05,4970.0,-120.0,120.0,1.34,-0.05,0.06,108.199,-0.696,0.704,4.25,-0.03,0.03,Gaia DR2 51886335968692480,8.191,8.687,8.094,10.115,10.0702,8.044,0,0.139,-0.031,0.031,[M/H],0.023,-0.004,0.004,K0,61.331654,20.1570318,10.26742635,0.582866998,-0.526822094,0.916,0.052,-0.047,75.00750396,0.0,0.0,0.236,0.0,0.0,1,0,0.0,24.1396,1537.803129,-0.0018,0.0018,695.411484,25245399898.0,0.168865551,0.1,2.3,23687.26626,0.46,1,89.0,-0.24,0.46,0.0,,,1,85.0,-72.0,72.0,7067.0488,0.0018,-0.0018,0,7079.1186,0.0,0.5,,,1,2019,Ariel,21.23198901651742,7.254670051879517,1.913285966946594,0.0002899560214885,2.302839236280584,10.878765451811097
153,153,153,WASP-49 b,WASP-49 b,1.0,7.03728158,13.81314316,1.0,4.849260293,9.489830234,Eclipse,1,5,9,0,0,0,0.92,-0.3,0.3,5600.0,-150.0,150.0,0.97,-0.09,0.09,194.553,-1.189,1.203,4.5,-0.1,0.1,Gaia DR2 2991284369063612928,9.812,10.146,9.749,11.352,11.2907,9.648,0,-0.23,,,[Fe/H],11.9,-3.2,0.8,G6 V,91.0897193,-16.9653901,12.44196861,1.23298788,-1.23298788,1.11,0.11,-0.11,126.8135342,9.534852198,-9.534852198,0.399,0.03,-0.03,0,1,0.0,2.78174,478.7021442,-6e-06,6e-06,1325.438256,5632548577.0,0.03767591,0.3,2.3,7429.266273,0.7704,1,84.89,-0.19,0.19,0.0,,,0,90.0,,,6267.68389,0.00013,-0.00013,0,6269.07476,0.0,1.4,0.038,-0.038,1,2012,Ariel,99.67603546783508,8.352635845596668,5.28382680129568,0.0011820167843952,12.380524206985289,10.832929811790336
85,85,85,HD 149026 b,HD 149026 b,1.0,6.908942494,13.41649987,1.0,2.122416926,4.139646438,Eclipse,1,2,4,0,0,0,1.42,-0.33,0.33,6179.0,-15.0,15.0,1.41,-0.03,0.03,75.8643,-0.1733,0.174,4.37,-0.04,0.04,Gaia DR2 1331356474971716992,6.899,7.118,6.819,8.15,8.01416,6.786,0,0.32,,,[Fe/H],2.6,-0.2,0.2,G0,247.6229827,38.3475349,8.294645741,0.224179615,-0.224179615,0.74,0.02,-0.02,102.3407469,4.449597692,-3.813940879,0.322,0.014,-0.012,0,1,37.9,2.87589,240.5175628,-2e-06,2e-06,1622.101507,6655422160.0,0.044517874,0.3,2.3,10352.78008,0.571,1,84.55,-0.58,0.58,0.0,,,0,109.0,-21.0,21.0,4456.78761,0.00014,-0.00014,0,4458.225555,0.0,0.29,0.0087,-0.0087,1,2005,Ariel,101.7771208077878,15.16662824595184,5.339817848978875,0.0002513568121034,18.098760621634572,10.807854464072957
176,176,176,TrES-4 b,TrES-4 b,1.0,8.637838911,16.95001848,1.0,6.66453523,13.15634457,Eclipse,1,7,13,0,0,0,1.08,-0.38,0.38,6200.0,-75.0,75.0,1.66,-0.19,0.19,515.98,-6.843,7.027,4.06,-0.02,0.02,Gaia DR2 4609062308806929152,10.35,10.583,10.33,11.932,11.4731,10.243,0,0.14,,,[Fe/H],2.2,-0.4,0.4,F8 V,268.3043361,37.2117397,18.04645898,2.017616532,-2.017616532,1.61,0.18,-0.18,158.2785465,10.48833742,-10.17050901,0.498,0.033,-0.032,0,1,51.4,3.55395,563.609488,-7.5e-05,7.5e-05,1722.504745,6995951241.0,0.04679566,0.3,2.3,12932.34619,0.755,1,82.81,-0.33,0.33,0.0,,,0,80.6,-160.0,9.5,5364.6085,0.0003,-0.0003,0,5366.385475,0.0,0.98,0.017,-0.017,1,2007,Ariel,75.71530538595171,4.955348468610966,3.5077058240512358,0.0012823427062615,13.828796628695878,10.690631094283289
114,114,114,NGTS-2 b,NGTS-2 b,1.0,7.610367672,14.90500524,1.0,2.968432864,5.862242492,Eclipse,1,3,6,0,0,0,1.64,-0.22,0.19,6478.0,-89.0,94.0,1.7,-0.04,0.05,356.391,-7.845,8.2,4.2,-0.06,0.03,Gaia DR2 6220602384081327104,9.858,10.055,9.799,10.789,10.8605,9.759,0,-0.06,-0.09,0.09,[Fe/H],2.17,-0.37,0.37,F5 V,215.1227617,-31.2020698,17.87832427,0.526822094,-0.504404133,1.595,0.047,-0.045,235.1930209,41.31769286,-38.13940879,0.74,0.13,-0.12,0,1,65.8,4.511164,342.0606126,-6.1e-05,6.1e-05,1568.980869,9426960190.0,0.06305659,0.3,2.3,16799.15156,0.20870826,1,88.5,-1.2,1.0,0.0,,,0,,,,7759.1261,0.0014,-0.0013,0,7761.381682,0.0,,,,1,2018,Ariel,73.90326993272454,7.50251641797583,3.934985770498603,0.0007287552856055,16.87026732750621,10.558435614028548
387,387,387,HATS-43 b,HATS-43 b,1.0,12.51617423,24.54874474,11.17095374,73.42356543,139.3766284,Transit,1,13,25,1,0,1,0.84,-0.02,0.02,5099.0,-61.0,61.0,0.81,-0.03,0.03,362.273,-2.232,2.259,4.54,-0.04,0.04,Gaia DR2 2905983466705521792,11.646,12.064,11.556,13.562,13.4014,11.497,0,0.05,-0.041,0.041,[Fe/H],8.6,-4.8,3.0,,80.5382418,-30.9708179,13.22659726,0.560449037,-0.560449037,1.18,0.05,-0.05,82.95321412,17.16273396,-17.16273396,0.261,0.054,-0.054,0,1,37.5,4.3888497,1513.663529,-5.9e-06,5.9e-06,961.8038135,7405565271.0,0.049535554,0.3,2.3,10449.81013,0.172,1,89.24,-0.41,0.29,0.173,-0.089,0.089,0,330.0,-120.0,120.0,7636.08946,0.00025,-0.00025,0,7638.283885,8785.919514,,,,1,2018,Ariel,41.764184569730055,4.834739760235963,2.4755125532628366,0.0022590900427058,4.528086388910955,10.342480268146591
275,275,275,WASP-183 b,WASP-183 b,1.0,10.67538203,20.94741837,2.578353346,17.86283651,34.27155445,Transit,1,11,21,0,0,0,0.78,-0.04,0.04,5313.0,-72.0,72.0,0.87,-0.04,0.04,325.377,-3.885,3.979,4.45,-0.04,0.04,Gaia DR2 3803004978659671040,11.268,11.639,11.207,13.081,12.8148,11.168,0,-0.31,-0.04,0.04,[Fe/H],14.9,-1.7,1.7,G9,163.7888521,-0.7370663,16.47720167,10.53644189,-3.698963641,1.47,0.94,-0.33,159.5498601,14.93793511,-14.93793511,0.502,0.047,-0.047,0,1,74.8,4.1117771,978.9560247,-5.1e-06,5.1e-06,1074.639776,6917500879.0,0.046270909,0.3,2.3,7260.43335,0.916,1,85.37,-0.88,0.61,0.0,,,0,,,,7796.1845,0.0024,-0.0024,0,7798.240389,0.0,2.26,0.6,-0.36,1,2019,Ariel,79.23881361119352,5.99191518285109,4.5856125806851855,0.0021992989290231,8.233496785778053,10.31863682708311
27,27,27,WASP-12 b,WASP-12 b,1.0,8.462711808,16.60250054,1.0,1.0,1.108532458,Eclipse,1,1,1,0,0,0,1.43,-0.11,0.11,6360.0,-140.0,140.0,1.66,-0.05,0.05,427.246,-5.903,6.068,4.16,-0.01,0.01,Gaia DR2 3435282862461427072,10.228,10.477,10.188,11.569,11.4999,10.111,0,0.07,-0.07,0.07,[Fe/H],2.0,-2.0,0.7,,97.636645,29.6722662,21.71179568,0.627702921,-0.627702921,1.937,0.056,-0.056,465.6186157,25.10844412,-25.10844412,1.465,0.079,-0.079,0,1,226.4,1.09142,69.49588939,-1.4e-07,1.4e-07,2499.272484,3496803790.0,0.023389992,0.3,2.3,10809.21964,0.339,1,83.52,-0.03,0.03,0.0447,-0.0043,0.0043,0,272.7,-1.3,2.4,6594.6816,4e-05,-4e-05,0,6595.22731,9885.205733,1.389,0.013,-0.013,1,2008,Ariel,197.26459760433963,10.071055580741817,12.690311525163034,0.0011014384651356,50.44857415072119,10.30519792687016
300,300,300,WASP-160 B b,WASP-160 B b,1.0,9.835959502,19.30060757,3.818232971,26.80680033,51.53800611,Transit,1,10,19,0,0,0,0.87,-0.07,0.07,5298.0,-99.0,99.0,0.87,-0.03,0.03,288.326,-2.008,2.036,4.5,-0.09,0.08,Gaia DR2 2910755484609597312,11.172,11.591,11.055,13.04,12.8842,11.021,0,0.27,-0.1,0.1,[Fe/H],9.75,-2.28,2.28,K0 V,87.679561,-27.6233218,12.217789,0.526822094,-0.45956821,1.09,0.047,-0.041,88.35629703,13.98444989,-14.3022783,0.278,0.044,-0.045,0,1,39.9,3.7684952,1087.422897,-3.5e-06,3.5e-06,1083.30681,6768873143.0,0.045276743,0.3,2.3,10308.15156,0.2,1,88.97,-0.57,0.63,0.0,,,0,,,,7383.65494,0.00021,-0.00021,0,7385.539188,0.0,1.663,0.043,-0.038,1,2018,Ariel,47.64978262828978,6.035154736960202,2.8884700598688227,0.0016321468666675,6.242999883940659,10.277476364343926
