,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier 2 Emission
10,10,WASP-121 b,WASP-121 b,1.0,2.809530879,5.50232336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776.0,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1.0,1.0,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177.0,1.27492504,25.72819342,-1.4e-07,1.5e-07,2391.043885,3814175890.0,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0.0,,,0,10.0,-10.0,10.0,8119.72074,0.00017,-0.00017,0,8120.358203,0.0,1.551,0.012,-0.012,1,2016,Ariel,265.4744800042335,9.711048794427414,15.452984030909567,1
11,11,WASP-18 b,WASP-18 b,28.32723102,382.5540411,746.2336336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.29,-0.06,0.06,6432.0,-48.0,48.0,1.32,-0.06,0.06,123.483,-0.369,0.371,4.31,-0.03,0.04,Gaia DR2 4955371367334610048,8.231,8.409,8.131,9.28,9.16617,8.075,0,0.107,-0.08,0.08,[Fe/H],1.57,-0.94,1.4,F6 IV-V,24.3544618,-45.6777937,13.89913611,0.885509478,-0.885509478,1.24,0.079,-0.079,3241.849747,111.2399423,-111.2399423,10.2,0.35,-0.35,0,1,1814.0,0.94145223,26.66964565,-2.4e-07,2.4e-07,2408.746207,3061681962.0,0.020479478,0.3,2.3,8176.001493,0.36,1,83.5,-1.6,2.0,0.0051,-0.0037,0.007,0,-85.0,-96.0,72.0,6740.8056,0.00019,-0.00019,0,6741.276326,0.0,1.041,0.022,-0.022,1,2009,Ariel,309.0634096163275,171.10134007408683,20.481126218848072,1
12,12,WASP-189 b,WASP-189 b,1.0,2.315344921,4.206662087,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.03,-0.07,0.07,8000.0,-80.0,80.0,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,18.1473398,0.235388595,-0.235388595,1.619,0.021,-0.021,632.4785291,50.85254506,-44.49597692,1.99,0.16,-0.14,0,1,182.0,2.724033,29.39367865,,,2606.643375,7231108901.0,0.048368621,0.3,2.3,16418.59337,0.478,1,84.03,-0.14,0.14,0.0,,,0,,,,8926.541696,6.5e-05,-6.4e-05,0,8927.903712,0.0,,,,1,2020,Ariel,372.23529229837436,19.581952304867087,20.985557570229595,1
13,13,WASP-33 b,WASP-33 b,1.0,2.223157227,4.373788659,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.5,-0.03,0.03,7430.0,-100.0,100.0,1.44,-0.03,0.03,121.944,-0.983,0.998,4.25,-0.07,0.1,Gaia DR2 328636019723252096,7.516,7.581,7.468,8.14,8.07004,7.383,0,0.1,,,[M/H],,,,A5,36.7127375,37.5504441,17.8559063,0.829464574,-0.829464574,1.593,0.074,-0.074,665.214855,44.17814852,-44.17814852,2.093,0.139,-0.139,0,1,304.0,1.21987,30.61354865,-1e-06,1e-06,2599.597377,3826520992.0,0.025595458,0.3,2.3,9739.03043,0.21,1,86.63,-0.03,0.03,0.0,,,0,,,,4163.22367,0.00022,-0.00022,0,4163.833605,0.0,1.1,0.019,-0.019,1,2010,Ariel,548.1600364601858,21.273271669423547,29.99360948315676,1
14,14,WASP-76 b,WASP-76 b,1.0,1.061796208,2.069376856,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.46,-0.07,0.07,6250.0,-100.0,100.0,1.73,-0.04,0.04,194.459,-5.839,6.206,4.13,-0.02,0.02,Gaia DR2 2512326349403275520,8.331,8.541,8.243,9.518,9.39507,8.19,0,0.23,-0.1,0.1,[Fe/H],5.3,-2.9,6.1,F7,26.632936,2.700389,20.51243474,0.672538844,-0.448359229,1.83,0.06,-0.04,292.4021341,9.534852198,-9.534852198,0.92,0.03,-0.03,0,1,119.3,1.809886,32.42343465,-1e-06,1e-06,2110.974286,4933060164.0,0.032997058,0.3,2.3,13517.1962,0.14,1,88.0,-1.6,1.3,0.0,,,0,,,,6107.85507,0.00034,-0.00034,0,6108.760013,0.0,1.189,0.016,-0.016,1,2016,Ariel,318.31550067966816,7.085691785774628,16.985514467435195,1
15,15,WASP-77 A b,WASP-77 A b,1.0,9.744476487,19.07806911,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.9,-0.06,0.07,5617.0,-72.0,72.0,0.91,-0.02,0.03,105.166,-1.182,1.209,4.48,-0.02,0.01,Gaia DR2 5178405479960844160,8.374,8.766,8.405,10.294,10.0966,8.106,0,-0.1,-0.11,0.1,[Fe/H],6.2,-3.5,4.0,G8 V,37.1555223,-7.0606675,13.7870463,0.347478403,-0.325060441,1.23,0.031,-0.029,529.8199538,21.61233165,-20.34101802,1.667,0.068,-0.064,0,1,323.4,1.36002854,33.78346319,-6.2e-07,6.2e-07,1640.556222,3470117371.0,0.023211487,0.3,2.3,7789.277258,0.109,1,88.91,-0.95,0.74,0.0074,-0.0049,0.0069,0,-166.0,-75.0,66.0,7420.88439,0.0008,-0.00085,0,7421.564404,0.0,1.783,0.02,-0.019,1,2012,Ariel,370.414980645194,28.419863420986434,18.6990023978288,1
16,16,XO-3 b,XO-3 b,49.756175,677.3259406,1321.14917,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.58,-0.14,0.14,6429.0,-50.0,50.0,1.54,-0.11,0.11,213.053,-2.658,2.724,3.95,-0.06,0.06,Gaia DR2 470650560777348352,8.845,9.013,8.791,9.854,9.73889,8.754,0,-0.18,,,[Fe/H],2.82,-0.82,0.58,F5V,65.4695814,57.8172095,15.80466283,1.345077688,-1.345077688,1.41,0.12,-0.12,3718.592357,133.4879308,-136.6662148,11.7,0.42,-0.43,0,1,1468.9,3.19154,36.97500319,-0.00014,0.00014,1977.826146,5293068392.0,0.03540514,0.3,2.3,17396.77006,0.5,1,84.19300096,-1.36,1.36,0.29,0.0,0.0,0,349.35,-0.68,0.67,5024.34346,0.00013,-0.00013,0,5025.93923,15626.87991,0.89,0.078,-0.078,1,2007,Ariel,162.75777484855323,151.79037921838943,8.748919759908484,1
17,17,XO-6 b,XO-6 b,1.632703243,21.25784366,41.37596641,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.47,-0.06,0.06,6720.0,-100.0,100.0,1.93,-0.18,0.18,235.479,-2.393,2.443,4.04,-0.1,0.1,Gaia DR2 1114308481600798336,9.266,9.471,9.246,10.247,10.191,9.213,0,-0.07,-0.1,0.1,[Fe/H],1.88,-0.2,0.9,F5,94.7929552,73.8275672,23.20259011,2.465975761,-2.465975761,2.07,0.22,-0.22,1398.444989,0.0,0.0,4.4,0.0,0.0,1,1,0.0,3.7650007,40.74000389,-8.1e-06,8.1e-06,1875.839925,8057131756.0,0.053893858,0.3,2.3,15793.31496,0.633,1,86.0,-0.2,0.2,0.0,,,0,,,,6652.71245,0.00055,-0.00055,0,6654.59495,0.0,,,,1,2016,Ariel,158.79294726658483,26.48552555487442,11.681596080113692,1
18,18,KELT-11 b,KELT-11 b,1.0,1.0,1.0,1.0,1.0,1.0,Transit,1,1,1,0,0,0,1.44,-0.07,0.07,5375.0,-25.0,25.0,2.69,-0.04,0.04,99.1596,-0.52105,0.52105,3.7,-0.1,0.1,Gaia DR2 3761497761876022400,6.251,6.616,6.122,8.04,7.83112,6.152,0,0.17,-0.07,0.07,[Fe/H],,,,G8/K0 IV,161.7069053,-9.3993646,15.13212399,1.120898073,-1.120898073,1.35,0.1,-0.1,54.34865753,4.767426099,-4.767426099,0.171,0.015,-0.015,0,1,0.0,4.7361,45.47610389,-3e-05,3e-05,1646.55533,9324653866.0,0.062372267,0.3,2.3,25534.76868,0.404,1,85.3,-0.2,0.2,0.0007,-0.0005,0.002,0,-1.0,-74.6,147.4,7483.431,0.0007,-0.0007,0,7485.79905,0.0,0.265,0.035,-0.038,1,2017,Ariel,154.8677036057113,2.420054703200389,8.565491927502052,1
19,19,KELT-20 b,KELT-20 b,1.0,4.575606261,8.934502053,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.19,0.14,8720.0,-260.0,250.0,1.56,-0.06,0.06,136.426,-0.807,0.816,4.29,-0.02,0.02,Gaia DR2 2033123654092592384,7.446,7.424,7.415,7.59,7.57492,7.363,0,-0.29,-0.36,0.22,[Fe/H],0.6,,,A2 V,294.6614126,31.2192001,19.51483545,0.77341967,-0.829464574,1.741,0.069,-0.074,1074.895671,0.0,0.0,3.382,0.0,0.0,1,1,0.0,3.4741085,48.95021239,-1.9e-06,1.9e-06,2181.396627,8108946858.0,0.054240447,0.3,2.3,12753.34816,0.503,1,86.12,-0.27,0.28,0.0,,,0,,,,7503.120049,0.00019,-0.00019,0,7504.857103,0.0,1.309,0.014,-0.014,1,2017,Ariel,372.7831557934422,28.778799305217515,17.314433004724773,1
