maintained by Benneke team for the TESS ACWG,,,,,,,,,,,
Date:,12-July-2020," from GTO Observing Specifications on Jdox (effective Sep 2020, added by Tom Greene)",,,,,,,,,
Date:,6-April-2021,JWST GO cycle 1 accepted programs (added by Roy and Benneke),,,,,,,,,
,,,,,,,,,,,
 1 Equilibrium temperature of planet assuming 0 albedo and 4pi str redistribution,,,,,,,,,,,
" 2 Observations should be TRANSIT for transmission spectrometry or photometry, ECLIPSE for secondary eclipse, or PHASE for phase curve",,,,,,,,,,,
,,,,,,,,,,,
Planet,Mpl (Mearth),Rpl (Rearth),Teq (K),Observation,Instrument,Mode,Comment,Program,PI / Team,GTO / GO / ERS / DDT,Data to be obtained
WASP-69 b,83,12.4,960,ECLIPSE,MIRI,LRS SLITLESSPRISM,,1185,NIRCam+TG,GTO,
HIP 67522 b,72.5,10,1174,TRANSIT,NIRSpec,G395H/F290LP,1 transit,2498,Withycombe Mann,GO,
HAT-P-12 b,67,10.7,960,TRANSIT,NIRISS,SOSS,,1281,MIRI EC,GTO,
HAT-P-12 b,67,10.7,960,TRANSIT,NIRSPEC,G395M,,1281,MIRI EC,GTO,
HAT-P-12 b,67,10.7,960,TRANSIT,MIRI,LRS,,1281,MIRI EC,GTO,
WASP-127 b,57,15.4,1400,TRANSIT,NIRISS,SOSS,,1201,NIRISS,GTO,
WASP-127 b,57,15.4,1400,TRANSIT,NIRSpec,G395H,1 transit,2437,Pelletier,GO,
HATS-72 b,39.9,8.1,739.3,TRANSIT,NIRSpec,G395H,1 transit,2594,Spake,GO,
HATS-72 b,39.9,8.1,739.3,TRANSIT,NIRISS,SOSS,1 transit,2594,Spake,GO,
V1298 Tau c,38.7,5.6,968,TRANSIT,NIRSpec,G395H+F290LP,1 transit,2149,Desert,GO,
WASP-107 b,38,10.5,730,TRANSIT,NIRISS,SOSS,,1201,NIRISS,GTO,
WASP-107 b,38,10.5,730,TRANSIT,NIRSpec,G395H,,1224,NIRSpec,GTO,
WASP-107 b,38,10.5,740,TRANSIT,NIRCam,Grism + F322W2,,1185,NIRCam+TG,GTO,
WASP-107 b,38,10.5,740,TRANSIT,NIRCam,Grism + F444W,,1185,NIRCam+TG,GTO,
WASP-107 b,38,10.5,740,TRANSIT,MIRI,LRS,,1280,MIRI EC,GTO,
WASP-107 b,38,10.5,730,ECLIPSE,NIRSPEC,G395H,,1201,NIRISS,GTO,
WASP-166 b,32.1,7.1,1270,TRANSIT,NIRSpec,G395M,1 transit,2062,Mayo,GO,
WASP-166 b,32.1,7.1,1270,TRANSIT,NIRISS,SOSS,1 transit,2062,Mayo,GO,
TOI-193,22,4.9,2150,PHASE,NIRISS,SOSS,possible second planet M=39-73 Me,1201,NIRISS,GTO,"Jun 17, 2023"
GJ 436 b,22,4.2,700,ECLIPSE,NIRCam,Grism + F322W2,3 visits,1185,NIRCam+TG,GTO,
GJ 436 b,22,4.2,700,ECLIPSE,NIRCam,Grism + F444W,3 visits,1185,NIRCam+TG,GTO,
GJ 436 b,22,4.2,700,ECLIPSE,MIRI,LRS SLITLESSPRISM,2 visits,1177,NIRCam+TG,GTO,
HAT-P-26 b,19,6.2,1000,ECLIPSE,NIRSPEC,G395H,,1312,STScI,GTO,
HAT-P-26 b,19,6.2,1000,ECLIPSE,MIRI,LRS,,1312,STScI,GTO,
HAT-P-26 b,19,6.2,1000,TRANSIT,NIRISS,SOSS,,1312,STScI,GTO,
HAT-P-26 b,19,6.2,1000,TRANSIT,NIRSPEC,G395H,,1312,STScI,GTO,
HAT-P-26 b,19,6.2,1000,TRANSIT,MIRI,LRS SLITLESSPRISM,,1177,NIRCam+TG,GTO,
TOI-836 b,14.9,2.49,-,TRANSIT,NIRSpec,G395H/F290LP,1 transits,2512,Batalha,GO,
GJ 3470 b,14,4.2,690,ECLIPSE,NIRSPEC,G395H,,1201,NIRISS,GTO,
GJ 3470 b,14,3.9,604,TRANSIT,NIRCam,Grism + F322W2,,1185,NIRCam+TG,GTO,
GJ 3470 b,14,3.9,604,TRANSIT,NIRCam,Grism + F444W,,1185,NIRCam+TG,GTO,
HD 15337 c,8.79,2.522,656.1,TRANSIT,NIRSpec,G395H/F290LP,2 transits,2512,Batalha,GO,
55 Cnc e,8.6,2.0,2500,ECLIPSE,NIRCam,F444W,1 eclipse,1952,"Hu, Renyu",GO,
55 Cnc e,8.6,2.0,2500,ECLIPSE,MIRI,LRS,1 eclipse,1952,"Hu, Renyu",GO,
55 Cnc e,8.6,2.0,2500,ECLIPSE (occultations),NIRCam,F444W,4 occultations (different sides),2084,Brandeker,GO,
L 231-32 d,4.2,2,350,TRANSIT,NIRISS,SOSS,1 transit added Cycle 2; aka TOI-270d,2759,Lafreniere,GTO,
K2-18 b,8.63,2.61,254.9,TRANSIT,NIRSpec,G235H,2 transits,2372,Hu,GO,
K2-18 b,8.63,2.61,254.9,TRANSIT,NIRSpec,G395H,4 transits,2372,Hu,GO,
K2-18 b,8.63,2.61,254.9,TRANSIT,NIRSpec,G395H,1 transit,2722,Madhusudhan,GO,
K2-18 b,8.63,2.61,254.9,TRANSIT,MIRI,LRS,1 transit,2722,Madhusudhan,GO,
K2-18 b,8.63,2.61,254.9,TRANSIT,NIRISS,SOSS,1 transit,2722,Madhusudhan,GO,
LTT 1445 A b,8.4,1.4,433,TRANSIT,NIRSPEC,G395H,2 transits,1981,Stevenson,GO,
LTT 1445 A b,8.4,1.4,433,TRANSIT,NIRSpec,G395H/F290LP,1 transits,2512,Batalha,GO,
LTT 1445 A b,8.4,1.4,433,ECLIPSE,MIRI,LRS,3 eclipses,2708,Berta-Thompson,GO,
HD 15337 b,7.2,1.699,1006,TRANSIT,NIRSpec,G395H/F290LP,1 transits,2512,Batalha,GO,
TOI-421 b,7.2,2.7,981,TRANSIT,NIRISS ,SOSS,1 transit,1935,Kempton,GO,
TOI-421 b,7.2,2.7,981,TRANSIT,NIRSpec,BOTS,1 transit,1935,Kempton,GO,
LP 791-18 c,7.0,2.3,370,TRANSIT,NIRSPEC,PRISM,,1201,NIRISS,GTO,
LHS 1140 b,6.7,1.4,230,TRANSIT,NIRSPEC,G235H,1 transit,2334,Damiano,GO,
LHS 1140 b,6.7,1.4,230,TRANSIT,NIRSPEC,G395H,1 transit,2334,Damiano,GO,
